Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,0.00,48.98,44.85,50.02,46.12,0.00,63.07,0.00,0.00,0.00,0.00
Plow Back,100.00,51.02,55.15,49.98,53.88,100.00,36.93,100.00,100.00,100.00,100.00
Return on Equity,3.89,20.69,36.91,35.59,16.51,3.65,11.95,7.14,-2.52,-1.86,0.00
Return on Assets,1.15,6.70,12.26,11.54,5.62,1.06,4.09,2.46,-0.66,-0.56,-3435.04
Book Value per Share,29.25,29.61,27.18,19.66,16.42,12.71,13.26,11.70,9.55,9.79,-416.13
Earning Per Share,1.14,6.12,10.03,7.00,2.71,0.46,1.59,0.84,-0.24,-0.22,-424.81
Net Working Capital to Total Asseets,-0.03,0.04,0.06,0.00,-0.03,-0.04,-0.04,-0.08,-0.05,-0.01,-33.65
Current Ratio,0.94,1.09,1.13,1.00,0.93,0.91,0.92,0.80,0.89,0.98,0.03
Acid Test,0.27,0.25,0.18,0.21,0.29,0.26,0.40,0.31,0.16,0.27,0.03
Times Interest Earned,1.19,3.85,11.76,11.12,3.26,1.23,1.89,1.45,0.88,0.84,-38.83
Total Debt Ratio,0.70,0.68,0.67,0.68,0.66,0.71,0.66,0.66,0.74,0.70,34.65
Debt To Equity,2.37,2.09,2.01,2.08,1.94,2.45,1.93,1.90,2.81,2.36,-1.03
Return on Capital Employed,0.14,0.23,0.31,0.37,0.20,0.11,0.20,0.17,0.11,0.04,1.00
Average Collection Period,7.71,5.75,4.94,8.27,9.27,7.38,20.34,11.42,7.93,25.69,0.00
Days sales Inventory,131.47,114.57,132.81,131.77,119.48,106.21,76.41,68.13,171.14,432.27,0.00
Total Assets Turnover,1.12,1.38,1.34,1.28,0.98,0.94,1.26,1.19,0.84,0.26,0.00
Gross Profit Margin,8.76,11.71,15.90,17.51,14.21,8.28,10.51,9.11,9.10,9.46,0.00
Net Profit Margin,1.03,4.84,9.17,9.02,5.75,1.13,3.24,2.06,-0.79,-2.15,0.00
