Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"21,929,843,818","21,958,943,693","22,010,170,144","21,058,980,010","19,541,735,582","18,668,676,450","17,136,243,480","10,072,777,111","8,226,573,489","7,668,804,189","6,939,471,713","4,738,515,981","4,322,276,074"
Investments,"1,839,159,917","1,870,618,667","2,529,059,980","2,521,978,437","2,479,578,081","3,982,524,313","3,267,424,980","2,304,105,251","2,496,223,260","1,378,790,145","1,216,920,702","1,664,321,136","1,080,165,716"
Cash in Hand and Bank,"128,579,174","92,042,244","105,914,449","133,757,275","6,596,097","49,559,526","86,806,776","41,354,895","11,382,760","115,732,769","10,941,804","3,536,944","3,372,441"
Stores and Spares,"1,540,502,239","1,527,111,297","1,309,256,367","1,412,675,360","1,080,682,261","1,165,439,717","11,251,315,707","588,561,594","590,954,610","540,910,519","391,144,991","283,562,979","264,946,286"
Stock in Trade,"3,985,441,491","11,505,748,375","19,730,034,110","7,939,757,487","5,035,625,241","4,860,648,469","4,383,863,382","3,324,048,252","3,731,551,031","1,922,057,309","206,682,011","1,436,296,905","876,391,873"
Trade Debts,"8,451,790,699","7,254,991,500","5,471,467,968","3,234,430,508","1,025,619,160","1,108,892,131","662,775,216","239,661,016","369,304,824","859,693,180","142,956","36,588,056","130,215,609"
Current Assets,"17,222,045,757","23,762,939,730","32,617,934,756","17,970,880,902","11,364,654,895","11,518,593,808","11,387,872,452","9,040,594,367","9,116,395,025","6,505,191,648","3,316,305,771","3,390,833,493","2,578,165,084"
Quick Assets,"11,696,102,027","10,730,080,058","11,578,644,279","8,618,448,055","5,248,347,393","5,492,505,622","-4,247,306,637","5,127,984,521","4,793,889,384","4,042,223,820","2,718,478,769","1,670,973,609","1,436,826,925"
Total Assets,"41,092,882,461","48,260,224,877","57,813,502,607","42,245,574,052","34,146,052,998","34,959,167,519","33,677,801,164","23,761,721,009","22,580,640,202","19,244,044,908","12,165,417,527","10,410,661,900","8,560,072,928"
Interest Bearing Long Term Liability,"12,249,118,556","5,113,849,849","8,930,372,385","9,945,361,348","10,074,323,888","8,293,871,779","9,665,819,937","4,953,315,307","3,534,359,801","4,608,516,475","3,100,554,088","2,668,638,230","2,814,781,872"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"12,868,109,626","20,659,873,275","27,659,735,629","13,421,920,264","6,555,264,660","11,885,296,755","11,123,730,919","8,451,030,971","9,561,539,391","6,651,898,855","3,298,773,435","4,263,089,091","2,125,315,248"
* Non Interest Bearing Short Term Liability,"2,574,246,838","3,793,241,790","11,290,883,527","8,601,241,948","7,453,480,960","6,282,138,674","5,125,755,798","3,091,547,320","2,969,160,404","1,210,260,543","801,520,446","840,099,057","1,577,668,428"
Trades Payables,"2,251,687,573","3,050,564,167","10,756,257,312","8,375,050,128","7,327,682,941","5,995,631,857","4,626,936,967","2,789,427,156","2,526,560,365","1,008,356,364","665,390,967","667,632,408","1,482,414,210"
Total Current Liabilities,"18,154,482,653","33,576,408,072","38,984,691,971","22,023,162,212","14,008,745,620","18,167,435,429","16,249,486,717","11,542,578,291","12,530,699,795","8,320,707,048","4,358,259,127","5,162,067,925","3,763,139,982"
Total Liabilities,"31,520,241,398","39,487,360,401","49,586,015,947","33,816,609,729","25,825,296,904","27,942,555,866","27,696,520,752","18,272,804,056","17,657,586,103","14,427,138,956","8,754,476,012","8,553,214,321","7,096,827,746"
Paid Up Capital,"597,766,610","597,766,610","597,766,610","597,766,610","597,766,610","597,766,610","597,766,610","597,766,610","597,766,610","592,766,610","489,889,770","442,840,570","381,254,260"
Reserves,"8,974,874,453","8,175,097,866","7,629,720,050","7,831,197,713","7,722,989,484","6,418,845,043","5,383,513,802","4,891,150,343","4,325,287,489","4,224,139,342","2,921,051,745","1,414,607,009","1,081,990,922"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"9,572,641,063","8,772,864,476","8,227,486,660","8,428,964,323","8,320,756,094","7,016,611,653","5,981,280,412","5,488,916,953","4,923,054,099","4,816,905,952","3,410,941,515","1,857,447,579","1,463,245,182"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"59,776,661","59,776,661","59,776,661","59,776,661","59,776,661","59,776,661","59,776,661","59,776,661","59,776,661","592,766,610","48,988,977","44,284,057","38,125,426"
