Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"52,270,415,120","49,119,853,168","37,264,506,369","45,569,980,968","37,287,425,991","32,663,442,974","30,534,864,386","27,183,281,838","22,749,880,211","24,729,491,207","20,392,207,793","7,572,724,395","8,718,071,713"
COGS,"44,867,940,832","43,903,667,735","34,148,122,116","40,676,688,988","30,832,943,837","27,797,895,638","27,306,099,295","23,981,411,434","20,387,894,576","20,513,820,267","16,744,461,278","5,670,105,049","7,082,728,496"
Gross Profit,"7,402,474,288","5,216,185,433","3,116,384,253","4,893,291,980","6,454,482,154","4,865,547,336","3,228,765,091","3,201,870,404","2,361,985,635","4,215,670,940","3,647,746,515","1,902,619,346","1,635,343,217"
Administrative Expenses,"1,646,151,637","1,241,560,050","1,033,466,077","1,126,164,658","878,079,077","797,944,257","529,026,652","490,343,792","462,956,222","430,482,211","344,195,411","177,689,911","199,673,087"
Selling & Distributive Expenses,"60,398,619","62,008,119","424,314,254","84,805,426","167,335,500","130,132,823","122,100,729","278,973,721","22,589,638","15,135,294","11,956,057","14,781,631","77,459,843"
Financial Charges,"3,550,396,765","3,511,600,842","2,269,761,395","1,665,293,789","1,660,105,995","2,241,796,543","1,880,760,719","1,118,578,053","1,334,998,725","1,333,093,303","1,168,439,503","870,430,469","662,328,144"
Other Income,"860,183,841","593,359,062","475,637,156","407,154,597","266,647,788","195,925,439","344,544,422","134,507,050","126,043,597","66,438,897","40,771,406","23,289,816","54,005,094"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"584,371,084","754,315,845","5,237,703","149,375,356","1,696,593,643","680,314,303","63,027,822","137,649,799","119,203,961","323,690,681","212,051,150","103,133,734","81,786,432"
EBITDA,"7,440,392,992","5,269,743,580","3,672,425,550","5,235,983,523","5,376,297,233","4,567,772,097","3,539,661,455","2,937,626,134","2,375,090,577","3,994,103,797","3,563,531,652","1,940,353,034","1,629,442,445"
EBIT,"5,971,736,789","3,751,660,481","2,129,003,375","3,940,101,137","3,979,121,722","3,453,081,392","2,859,154,310","2,429,410,142","1,883,279,411","3,512,801,651","3,120,315,303","1,630,303,886","1,330,428,949"
EBT,"2,421,340,024","240,059,639","-140,758,020","2,274,807,348","2,319,015,727","1,211,284,849","978,393,591","1,310,832,089","548,280,686","2,179,708,348","1,951,875,800","759,873,417","668,100,805"
Tax,"1,022,823,378","-313,236,784","62,682,495","662,239,586","285,083,739","-305,965,305","-1,312,304","386,309,269","-138,993,868","836,522,582","711,473,399","257,820,317","231,455,351"
PAT,"1,398,516,646","553,296,423","-203,440,515","1,612,567,762","2,033,931,988","1,517,250,154","979,705,895","924,522,820","687,274,554","1,343,185,766","1,240,402,401","502,053,100","436,645,454"
EPS,23.4,9.26,-3.4,26.98,34.03,25.38,16.39,15.47,11.52,24.42,28.2,11.34,9.86
