Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Net Premium Revenue,"45,207,696,000","48,396,019,000","50,670,972,000",0,0,0,0,0,0,0,0,0,0,0
Net Claims,"28,825,518,000","22,471,614,000","16,315,729,000",0,0,0,0,0,0,0,0,0,0,0
Direct Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under Writing Results,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investment Income,"12,024,816,000","12,591,769,000","7,564,517,000","877,569,000","463,311,000","345,552,000","206,401,000","172,330,000","185,468,000","74,738,000","40,998,000","77,928,000","-110,364,000","50,439,000"
Administrative & Other Expenses,"24,188,286,000","42,884,246,000","29,071,680,000","184,043,000","125,612,000","131,765,000","94,362,000","59,994,000","29,896,000","31,156,000","26,522,000","19,369,000","10,939,000","7,148,000"
Other Income,"239,189,000","336,450,000","404,998,000","17,369,000","15,643,000","7,773,000","9,424,000","4,605,000","3,097,000","8,774,000","2,792,000","2,185,000","4,698,000","737,000"
Change In Value of Investement,"-387,873,000","7,447,989,000","-9,477,727,000",0,0,0,0,0,0,0,0,0,0,0
Statutory Funds Transfer,0,0,0,"3,165,000,000","2,685,000,000","2,220,000,000","1,880,000,000","1,273,000,000","650,000,000","530,000,000","200,000,000","100,000,000","66,633,000","106,000,000"
EBT,"4,070,024,000","3,416,367,000","3,775,351,000","3,875,895,000","3,151,604,000","2,441,560,000","2,001,463,000","1,389,941,000","808,669,000","582,356,000","217,268,000","160,744,000","-49,972,000","150,028,000"
Tax,"1,185,643,000","1,192,140,000","1,345,020,000","1,306,229,000","1,043,706,000","820,000,000","639,931,000","448,470,000","255,296,000","207,763,000","70,516,000","30,801,000","5,000,000","24,572,000"
PAT,"2,884,381,000","2,224,227,000","2,430,331,000","2,569,666,000","2,107,898,000","1,621,560,000","1,361,532,000","941,471,000","553,373,000","374,593,000","146,752,000","129,943,000","-54,972,000","125,456,000"
EPS,33.05,28.04,30.64,32.39,29.23,22.48,18.88,15.01,8.82,5.97,2.34,2.07,-0.88,2
