Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"475,433,000","480,165,000","486,352,000","175,318,000","184,009,000","192,820,000","201,630,000","210,048,000","184,117,000","191,255,000","199,475,000","209,386,000","219,850,000"
Investments,0,0,0,0,0,0,0,0,0,0,0,0,"9,000,000"
Cash in Hand and Bank,"1,793,000","219,000","4,556,000","4,434,000","1,082,000","1,731,000","1,066,000","9,622,000","7,232,000","2,958,000","5,411,000","3,947,000","14,232,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,0,"1,956,000","1,926,000","13,788,000","42,650,000","45,324,000","65,091,000","106,455,000","120,715,000","122,261,000","61,959,000","51,383,000","58,693,000"
Trade Debts,0,"165,000",0,"2,156,000","6,372,000","9,009,000","49,806,000","42,209,000","34,714,000","42,633,000","24,974,000","30,900,000","56,261,000"
Current Assets,"5,115,000","26,483,000","30,168,000","39,885,000","75,484,000","82,039,000","142,317,000","193,133,000","199,384,000","220,516,000","131,424,000","129,325,000","203,842,000"
Quick Assets,"5,115,000","24,527,000","28,242,000","26,097,000","32,834,000","36,715,000","77,226,000","86,678,000","78,669,000","98,255,000","69,465,000","77,942,000","145,149,000"
Total Assets,"480,865,000","507,207,000","517,079,000","216,143,000","260,433,000","275,799,000","344,887,000","404,121,000","384,441,000","412,706,000","331,834,000","339,298,000","426,074,000"
Interest Bearing Long Term Liability,0,0,"120,041,000","96,121,000","81,582,000","77,331,000","73,435,000","72,732,000","71,969,000","75,102,000","71,636,000","68,077,000","79,199,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"274,063,000","87,544,000","6,851,000","6,851,000","4,000,000","4,000,000","4,000,000","4,000,000","4,914,000","5,191,000","4,000,000","9,821,000","10,300,000"
* Non Interest Bearing Short Term Liability,"84,591,000","237,733,000","175,214,000","166,690,000","155,513,000","121,459,000","136,334,000","162,227,000","168,443,000","193,954,000","118,391,000","116,329,000","161,206,000"
Trades Payables,"24,854,000","187,464,000","175,214,000","166,690,000","155,513,000","121,459,000","136,334,000","162,227,000","168,443,000","189,686,000","112,846,000","109,818,000","149,024,000"
Total Current Liabilities,"362,922,000","329,546,000","186,333,000","177,809,000","163,781,000","129,727,000","144,602,000","170,495,000","177,625,000","199,145,000","122,391,000","126,150,000","172,302,000"
Total Liabilities,"370,097,000","342,056,000","320,282,000","283,581,000","258,225,000","222,248,000","222,747,000","250,880,000","256,359,000","280,893,000","199,849,000","199,952,000","257,088,000"
Paid Up Capital,"54,500,000","54,500,000","54,500,000","54,500,000","54,500,000","54,500,000","54,500,000","54,500,000","54,500,000","54,500,000","54,500,000","54,500,000","54,500,000"
Reserves,"-411,236,000","-360,055,000","-332,083,000","-289,066,000","-226,254,000","-177,581,000","-129,809,000","-59,571,000","-54,365,000","-51,889,000","-52,970,000","-46,863,000","-18,478,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"467,504,000","470,706,000","474,380,000","167,128,000","173,962,000","176,632,000","197,449,000","158,312,000","127,947,000","129,201,000","130,455,000","131,709,000","132,964,000"
Shareholder Equity,"110,768,000","165,151,000","196,797,000","-67,438,000","2,208,000","53,551,000","122,140,000","153,241,000","128,082,000","131,812,000","131,985,000","139,346,000","168,986,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"5,450,000","5,450,000","5,450,000","5,449,972","5,449,972","5,449,972","5,449,972","5,449,972","5,449,972","5,449,972","5,449,972","5,449,972","5,449,972"
