Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"739,731,000","719,567,000","755,849,000","797,863,000","2,259,243,000","4,999,358,000","4,724,149,000","2,731,939,000","3,505,758,000","4,499,145,000"
COGS,"341,492,000","338,982,000","335,118,000","375,636,000","2,089,153,000","5,050,083,000","5,170,336,000","2,443,209,000","3,281,175,000","4,214,069,000"
Gross Profit,"398,239,000","380,585,000","420,731,000","422,227,000","170,090,000","-50,725,000","-446,187,000","288,730,000","224,583,000","285,076,000"
Administrative Expenses,"23,787,000","23,205,000","25,441,000","60,423,000","68,944,000","227,476,000","114,713,000","68,045,000","70,961,000","41,783,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0
Financial Charges,"727,673,000","677,856,000","773,089,000","993,545,000","1,009,179,000","1,122,948,000","962,145,000","691,426,000","760,237,000","523,976,000"
Other Income,"29,794,000","18,855,000","12,427,000","12,681,000","11,399,000","23,506,000","21,290,000","20,012,000","14,550,000","118,570,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,"159,185,000","188,595,000","260,725,000",0,0,0,0,0,0
EBITDA,"705,281,000","518,256,000","520,403,000","415,729,000","414,215,000","46,773,000","-281,592,000","498,208,000","425,197,000","615,497,000"
EBIT,"404,246,000","217,050,000","219,122,000","113,760,000","112,545,000","-254,695,000","-539,610,000","240,697,000","168,172,000","361,863,000"
EBT,"-323,427,000","-460,806,000","-553,967,000","-879,785,000","-896,634,000","-1,377,643,000","-1,501,755,000","-450,729,000","-592,065,000","-162,113,000"
Tax,0,0,0,"154,000","1,251,000","2,463,000","1,725,000","1,623,000","444,000","557,000"
PAT,"-323,427,000","-460,806,000","-553,967,000","-879,939,000","-897,885,000","-1,380,106,000","-1,503,480,000","-452,352,000","-592,509,000","-162,670,000"
EPS,-2.07,-2.95,-3.55,-5.64,-5.75,-8.84,-9.64,-2.89,-3.86,-1.1
