Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Cash in Hand and Bank,"30,421,231,000","25,589,349,000","32,110,840,000","17,333,788,000","15,508,968,000","11,159,432,000","9,041,269,000","7,773,892,000","5,027,797,000","3,880,688,000","2,298,806,000","1,764,403,000","1,285,247,000"
Lendings To Banks & Financial Inst.,"24,345,641,000","30,783,376,000","2,905,922,000","4,150,465,000","12,087,124,000","4,165,053,000","17,219,536,000","22,100,781,000","5,119,223,000","4,209,983,000","4,561,162,000","5,303,421,000","2,077,481,000"
Advances,"250,199,166,000","242,944,509,000","251,990,918,000","184,139,582,000","93,794,134,000","76,666,180,000","56,706,066,000","33,762,507,000","20,054,921,000","18,018,778,000","13,978,113,000","11,689,653,000","9,680,449,000"
Investments,"201,698,473,000","142,568,470,000","148,689,974,000","169,611,558,000","133,726,610,000","116,029,825,000","84,257,568,000","42,679,316,000","46,259,398,000","22,649,824,000","13,701,699,000","9,535,555,000","5,138,709,000"
Fixed Assets,"7,599,538,000","9,692,701,000","6,245,328,000","7,112,821,000","5,837,181,000","4,573,671,000","3,766,850,000","3,627,512,000","3,165,117,000","3,021,439,000","2,882,941,000","3,039,329,000","2,496,883,000"
Other Assets,"17,904,353,000","18,242,389,000","14,811,094,000","5,960,662,000","3,746,476,000","5,881,502,000","5,725,528,000","2,825,964,000","1,943,539,000","2,139,857,000","1,960,926,000","1,562,559,000","949,033,000"
Total Assets,"532,168,402,000","469,820,794,000","456,754,076,000","388,308,876,000","264,700,493,000","218,475,663,000","176,716,817,000","112,769,972,000","81,569,995,000","53,920,569,000","39,383,647,000","32,894,920,000","21,627,802,000"
Deposits,"433,062,593,000","369,789,964,000","321,413,263,000","290,077,566,000","226,098,931,000","141,840,487,000","108,739,960,000","80,916,125,000","62,543,793,000","41,487,031,000","26,276,328,000","21,313,791,000","15,294,273,000"
Borrowings & Bills Payable,"53,285,395,000","58,272,774,000","100,078,587,000","68,381,321,000","12,864,075,000","56,247,743,000","51,917,993,000","21,565,639,000","8,936,020,000","4,191,489,000","5,894,030,000","5,360,127,000","665,577,000"
Sub-Ordinated Loans,"7,492,800,000","7,494,800,000","7,496,800,000","4,998,800,000","3,000,000,000",0,0,0,0,0,0,0,0
Other Liabilites including Lease Liabilities,"17,735,406,000","16,930,001,000","12,148,400,000","8,181,860,000","6,087,962,000","4,419,530,000","2,979,318,000","1,354,315,000","1,134,373,000","765,019,000","1,375,003,000","566,443,000","392,115,000"
Total Liabilities,"511,576,194,000","452,487,539,000","441,137,050,000","371,639,547,000","248,050,968,000","202,507,760,000","163,637,271,000","103,836,079,000","72,614,186,000","46,443,539,000","33,545,361,000","27,240,361,000","16,351,965,000"
Net Assets,"20,592,208,000","17,333,255,000","15,617,026,000","16,669,329,000","16,649,525,000","15,967,903,000","13,079,546,000","8,933,893,000","8,955,809,000","7,477,030,000","5,838,286,000","5,654,559,000","5,275,837,000"
Paid Up Capital,"10,119,242,000","10,119,242,000","12,974,643,000","10,724,643,000","10,724,643,000","10,724,643,000","10,724,643,000","10,724,643,000","10,724,643,000","10,002,930,000","8,149,751,000","6,127,605,000","5,694,844,000"
Preferred Equity,0,0,0,"1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000",0,0,0,0,0,0
Reserves,"8,138,843,000","6,577,313,000","3,677,972,000","3,954,407,000","3,202,062,000","1,342,507,000","-520,919,000","-1,585,604,000","-1,950,165,000","-2,497,820,000","-2,328,144,000","-505,152,000","89,784,000"
Surplus On Revaluation,"2,334,123,000","636,700,000","-1,035,589,000","490,279,000","1,222,820,000","2,400,753,000","1,375,822,000","-205,146,000","181,331,000","-28,080,000","16,679,000","32,106,000","-508,791,000"
Shareholder Equity,"20,592,208,000","17,333,255,000","15,617,026,000","16,669,329,000","16,649,525,000","15,967,903,000","13,079,546,000","8,933,893,000","8,955,809,000","7,477,030,000","5,838,286,000","5,654,559,000","5,275,837,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,011,924,200","1,011,924,200","1,297,464,262","1,072,464,300","1,072,464,262","1,072,464,262","1,072,464,262","1,072,464,262","1,072,464,262","1,000,293,002","814,971,465","612,760,500","569,484,393"
