Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Long Term Loans & Advances,"8,068,000","28,647,000","3,755,000","1,923,000","2,522,000","3,255,000","405,294,000","3,902,000","3,093,000","3,055,000","3,438,000","6,908,000"
Investments,"28,820,133,000","28,128,772,000","29,723,111,000","31,502,721,000","24,611,391,000","22,402,128,000","12,641,431,000","13,301,451,000","9,258,799,000","15,110,832,000","22,763,935,000","32,586,088,000"
Fixed Assets,"259,532,000","88,192,000","6,284,000","5,346,000","7,520,000","6,656,000","7,345,000","8,756,000","10,407,000","17,482,000","28,591,000","46,654,000"
Cash in Hand and Bank,"232,440,000","296,059,000","1,427,482,000","730,182,000","2,000,658,000","135,281,000","1,541,814,000","2,629,053,000","1,337,243,000","11,627,000","101,874,000","4,269,764,000"
Current Assets,"3,536,245,000",0,"4,714,043,000","5,233,188,000","4,684,381,000","587,851,000","2,783,813,000","4,939,824,000","2,903,344,000","1,833,275,000","2,524,994,000","9,112,360,000"
Total Assets,"29,446,847,000","28,715,405,000","31,414,651,000","32,563,342,000","27,021,719,000","22,920,569,000","14,968,368,000","16,418,770,000","12,187,844,000","15,383,693,000","23,184,490,000","37,494,423,000"
Total Non Current Liabilities,"2,870,754,000","3,352,745,000","2,882,321,000","1,816,445,000","957,089,000","893,776,000","658,932,000","855,370,000","1,743,858,000","2,839,287,000","3,212,313,000","3,520,275,000"
Total Current Liabilities,"1,547,818,000","1,568,149,000","1,011,922,000","692,367,000","762,782,000","562,892,000","540,484,000","1,941,039,000","1,302,994,000","2,416,676,000","693,183,000","2,946,255,000"
Total Liabilities,"4,418,572,000","4,920,894,000","3,894,243,000","2,508,812,000","1,719,871,000","1,456,668,000","1,199,416,000","2,796,409,000","3,046,852,000","5,255,963,000","3,905,496,000","6,466,530,000"
Paid Up Capital,"9,159,424,000","9,159,424,000","9,159,424,000","9,159,424,000","9,159,424,000","7,632,853,000","7,632,853,000","7,632,853,000","7,632,853,000","7,632,853,000","7,632,853,000","2,220,200,000"
Reserves,"15,868,851,000","14,635,087,000","18,360,984,000","20,895,106,000","16,142,424,000","13,831,048,000","6,136,099,000","5,989,508,000","1,508,139,000","2,494,877,000","11,646,141,000","28,807,693,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"25,028,275,000","23,794,511,000","27,520,408,000","30,054,530,000","25,301,848,000","21,463,901,000","13,768,952,000","13,622,361,000","9,140,992,000","10,127,730,000","19,278,994,000","31,027,893,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"915,942,400","915,942,400","915,942,400","915,942,388","915,942,388","763,285,323","763,285,323","763,285,323","763,285,323","763,285,323","763,285,323","222,020,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
