Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Revenue Excluding Capital,"496,837,775","611,831,196","535,850,243","463,957,794","494,793,986","407,318,564","256,852,747","309,693,239","216,301,342","328,639,731","361,585,391","1,043,901,478","678,196,186","495,753,855"
Capital Gains,"29,150,101","39,707,340","78,856,354","56,888,037","81,778,664","127,529,352","17,994,427","136,646,634","60,683,916","57,333,309","89,519,070","92,281,828","56,380,753",0
Administrative Cost,"569,257,744","649,797,458","634,326,422","498,626,207","472,708,366","367,639,279","296,404,039","446,003,037","329,060,703","354,438,733","342,189,640","452,860,019","305,771,927","190,204,308"
Financial Charges,"39,804,908","7,114,395","54,407,851","620,542","7,167,561","708,398","14,478,825","23,805,199","4,386,703","4,208,287","8,418,508","59,871,615","11,890,235","12,827,662"
Other Income,"191,912,273","106,063,143","280,775,394","214,064,119","289,844,897","263,003,507","255,353,844","342,550,606","219,176,350","357,675,457","224,289,123","126,020,117","49,892,512","12,278,845"
Other Expense,"2,189,572","2,017,068","4,049,881",0,0,0,0,"7,579,227","8,592,669",0,"8,859,797",0,0,0
Change In Value of Investment,"641,095","163,598","-4,253,661","13,502,624","-2,135,183","4,998,201","-3,451,401","42,031,646","-18,410,218","-70,986,650","8,138,612","-3,673,229","-172,671",0
EBT,"107,289,020","98,836,356","198,444,176","239,007,034","376,361,637","409,749,562","210,276,321","378,961,351","126,231,381","-59,016,770","273,152,774","740,113,870","466,634,618","305,000,730"
Tax,"60,040,627","73,199,219","112,914,473","67,971,538","125,065,223","127,182,878","60,080,205","88,635,880","37,110,580","18,339,817","66,912,781","115,979,745","63,816,777","40,792,576"
PAT,"47,248,393","25,637,137","85,529,703","171,035,496","251,296,414","282,566,684","150,196,116","290,325,471","89,120,801","-77,356,587","206,239,993","624,134,125","402,817,841","264,208,154"
EPS,1.31,0.67,2.25,4.13,5.03,5.65,3,5.81,1.78,-1.55,4.12,12.48,19.02,19.15
