Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"5,937,790,000","5,343,609,000","1,816,670,000","1,627,159,000","1,549,145,000","1,546,410,000","1,089,173,000","55,972,000","55,643,000","37,730,000","8,641,939,000","5,390,476,000"
Investments,"615,414,000","55,000,000",0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"59,908,000","56,751,000","106,428,000","25,402,000","34,086,000","112,854,000","7,489,000","15,132,000","31,476,000","10,901,000","81,770,000","71,829,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,"21,869,000","121,682,000"
Stock in Trade,0,0,0,0,0,0,0,0,0,0,"6,005,000","196,261,000"
Trade Debts,"494,188,000","789,495,000","1,469,913,000","2,436,952,000","1,198,664,000","3,118,767,000","337,699,000","424,928,000",0,0,"34,238,000","9,943,000"
Current Assets,"19,624,147,000","19,858,206,000","18,984,539,000","12,414,366,000","10,736,363,000","11,909,078,000","8,912,470,000","9,594,442,000","9,758,646,000","9,219,454,000","851,616,000","468,497,000"
Quick Assets,"19,624,147,000","19,858,206,000","18,984,539,000","12,414,366,000","10,736,363,000","11,909,078,000","8,912,470,000","9,594,442,000","9,758,646,000","9,219,454,000","823,742,000","150,554,000"
Total Assets,"26,154,969,000","25,283,074,000","20,840,488,000","14,443,481,000","13,060,519,000","14,124,202,000","12,890,840,000","11,239,235,000","10,670,147,000","9,687,851,000","9,496,525,000","5,861,219,000"
Interest Bearing Long Term Liability,"3,589,433,000","3,563,112,000","866,250,000","1,188,991,000","1,122,405,000","966,557,000","1,432,978,000","2,210,774,000","3,734,191,000","2,004,956,000","2,730,768,000","3,530,000,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,"1,127,713,000","952,291,000"
Interest Bearing Short Term Liability,"1,378,974,000","1,831,020,000","2,747,843,000","646,398,000","1,187,272,000","3,190,884,000","3,169,367,000","2,584,637,000","693,372,000","1,947,745,000","1,177,537,000","184,045,000"
* Non Interest Bearing Short Term Liability,"503,033,000","692,902,000","2,177,308,000","645,880,000","938,522,000","589,312,000","597,296,000","356,528,000","505,748,000","656,186,000","378,410,000","463,599,000"
Trades Payables,"325,923,000","521,337,000","2,110,136,000","628,113,000","856,470,000","252,294,000","317,070,000","135,699,000","113,006,000","241,822,000","155,838,000","217,442,000"
Total Current Liabilities,"4,985,006,000","4,401,745,000","6,114,775,000","3,009,086,000","2,991,364,000","4,405,769,000","4,551,908,000","3,572,809,000","2,192,735,000","2,603,931,000","1,555,947,000","647,644,000"
Total Liabilities,"8,631,559,000","7,998,661,000","7,005,216,000","4,214,005,000","4,123,981,000","5,379,102,000","5,987,605,000","5,785,122,000","5,926,926,000","4,608,887,000","5,414,428,000","5,129,935,000"
Paid Up Capital,"3,173,834,000","2,885,304,000","2,671,254,000","1,570,510,000","1,293,683,000","1,166,526,000","583,253,000","1,708,995,000","1,708,995,000","581,282,000","581,282,000","290,641,000"
Reserves,"5,804,955,000","5,723,496,000","5,361,370,000","2,058,836,000","373,482,000","-78,024,000","-1,176,318,000","-3,125,452,000","-4,660,845,000","-3,197,389,000","-4,194,256,000","-4,065,340,000"
Preferred Equity,0,0,0,"451,502,000","914,713,000","1,120,213,000","1,120,253,000","1,127,713,000","1,127,713,000",0,0,0
Surplus On Revaluation of Assets,"8,544,621,000","8,675,613,000","5,802,648,000","6,148,628,000","6,354,660,000","6,536,385,000","6,376,047,000","6,870,570,000","7,695,071,000","7,695,071,000","7,695,071,000","4,505,983,000"
Shareholder Equity,"17,523,410,000","17,284,413,000","13,835,272,000","10,229,476,000","8,936,538,000","8,745,100,000","6,903,235,000","5,454,113,000","4,743,221,000","5,078,964,000","4,082,097,000","731,284,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"317,383,400","288,530,400","267,125,400","157,051,028","129,368,399","116,652,656","58,325,323","58,128,172","58,128,172","58,128,172","58,128,172","29,064,086"
