Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"1,643,274,000","1,899,014,000","2,479,158,000","2,467,969,000","1,227,915,000","1,260,588,000","1,876,433,000","2,395,273,000",0,0,"610,134,000","1,622,216,000"
COGS,"708,637,000","772,949,000","1,099,368,000","595,735,000","292,961,000","424,149,000","566,320,000","1,106,204,000",0,0,"657,227,000","1,372,868,000"
Gross Profit,"934,637,000","1,126,065,000","1,379,790,000","1,872,234,000","934,954,000","836,439,000","1,310,113,000","1,289,069,000",0,0,"-47,093,000","249,348,000"
Administrative Expenses,"385,643,000","363,881,000","260,954,000","214,648,000","166,912,000","146,393,000","130,593,000","132,475,000","130,917,000","71,625,000","23,358,000","23,161,000"
Selling & Distributive Expenses,"52,939,000","56,176,000","68,525,000","122,161,000","34,877,000","22,014,000","4,453,000","69,741,000","112,063,000","204,000","9,260,000","25,750,000"
Financial Charges,"207,560,000","117,818,000","211,936,000","72,585,000","181,229,000","188,560,000","387,020,000","378,054,000","507,524,000","489,937,000","587,424,000","582,979,000"
Other Income,"120,835,000","108,274,000","262,202,000","30,147,000","48,446,000","526,291,000","54,230,000","18,159,000","12,796,000","15,660,000","543,095,000","12,175,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,0,0,0,0,0,0,"3,979,000","7,878,000","12,385,000",0,0
EBITDA,"638,501,000","827,749,000","1,325,001,000","1,578,078,000","792,313,000","1,205,458,000","1,241,209,000","1,112,189,000","-229,893,000","-64,092,000","476,544,000","227,342,000"
EBIT,"616,890,000","814,282,000","1,312,513,000","1,565,572,000","781,611,000","1,194,323,000","1,229,297,000","1,101,033,000","-238,062,000","-68,554,000","463,384,000","212,612,000"
EBT,"409,330,000","696,464,000","1,100,577,000","1,492,987,000","600,382,000","1,005,763,000","842,277,000","722,979,000","-745,586,000","-558,491,000","-124,040,000","-370,367,000"
Tax,"172,630,000","116,584,000","396,864,000","397,614,000","-95,234,000","205,242,000",0,"12,087,000","-409,843,000","-427,645,000","4,876,000","57,655,000"
PAT,"236,700,000","579,880,000","703,713,000","1,095,373,000","695,616,000","800,521,000","842,277,000","710,892,000","-335,743,000","-130,846,000","-128,916,000","-428,022,000"
EPS,0.75,2.01,3.35,7.6,5.5,7.1,14.48,12.23,-5.78,-2.25,-2.36,-8.37
