Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,26.57,35.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,73.43,64.16,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,1.35,3.35,5.09,11.20,8.67,10.50,14.56,16.43,-9.29,-2.58,-3.16,-58.53
Return on Assets,0.90,2.29,3.38,7.58,5.33,5.67,6.53,6.33,-3.15,-1.35,-1.36,-7.30
Book Value per Share,55.21,59.90,51.79,62.26,62.01,65.36,99.15,74.43,62.20,87.38,70.23,25.16
Earning Per Share,0.75,2.01,3.35,7.60,5.50,7.10,14.48,12.23,-5.78,-2.25,-2.36,-8.37
Net Working Capital to Total Asseets,0.56,0.61,0.62,0.65,0.59,0.53,0.34,0.54,0.71,0.68,-0.07,-0.03
Current Ratio,3.94,4.51,3.10,4.13,3.59,2.70,1.96,2.69,4.45,3.54,0.55,0.72
Acid Test,3.94,4.51,3.10,4.13,3.59,2.70,1.96,2.69,4.45,3.54,0.53,0.23
Times Interest Earned,2.97,6.91,6.19,21.57,4.31,6.33,3.18,2.91,-0.47,-0.14,0.79,0.36
Total Debt Ratio,0.33,0.32,0.34,0.29,0.32,0.38,0.46,0.51,0.56,0.48,0.57,0.88
Debt To Equity,0.49,0.46,0.51,0.41,0.46,0.62,0.87,1.06,1.25,0.91,1.33,7.01
Return on Capital Employed,0.03,0.04,0.09,0.14,0.08,0.12,0.15,0.14,-0.03,-0.01,0.06,0.04
Average Collection Period,109.77,151.75,216.41,360.41,356.31,903.03,65.69,64.75,0.00,0.00,20.48,2.24
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.48,84.53
Total Assets Turnover,0.06,0.08,0.12,0.17,0.09,0.09,0.15,0.21,0.00,0.00,0.06,0.28
Gross Profit Margin,56.88,59.30,55.66,75.86,76.14,66.35,69.82,53.82,0.00,0.00,-7.72,15.37
Net Profit Margin,14.40,30.54,28.39,44.38,56.65,63.50,44.89,29.68,0.00,0.00,-21.13,-26.39
