Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"71,543,299,000","84,830,617,000","91,915,894,000","81,846,981,000","64,178,389,000","101,480,570,000","113,206,047,000","97,705,313,000","100,504,304,000","74,350,745,000","85,934,854,000","69,363,913,000","55,947,078,000"
COGS,"50,065,134,000","70,625,377,000","78,536,832,000","67,666,625,000","50,770,461,000","86,334,572,000","101,001,998,000","84,144,758,000","89,252,443,000","63,652,527,000","76,010,946,000","58,373,072,000","46,600,485,000"
Gross Profit,"21,478,165,000","14,205,240,000","13,379,062,000","14,180,356,000","13,407,928,000","15,145,998,000","12,204,049,000","13,560,555,000","11,251,861,000","10,698,218,000","9,923,908,000","10,990,841,000","9,346,593,000"
Administrative Expenses,"872,749,000","708,740,000","465,787,000","451,839,000","528,603,000","417,718,000","536,565,000","529,386,000","496,057,000","452,349,000","450,701,000","727,267,000","381,261,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"8,457,417,000","8,306,164,000","6,187,594,000","4,424,942,000","3,236,733,000","6,248,083,000","4,550,475,000","7,998,910,000","9,782,214,000","8,704,178,000","5,335,919,000","6,410,224,000","2,208,130,000"
Other Income,"20,806,245,000","13,781,099,000","9,453,211,000","4,991,238,000","4,040,713,000","6,321,217,000","4,213,709,000","5,897,915,000","7,662,456,000","8,381,420,000","3,773,832,000","4,869,530,000","1,302,323,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,"8,922,000","371,085,000","221,708,000","25,000","13,734,000","723,000","24,762,000","600,000","16,150,000","180,589,000",0,0
EBITDA,"43,682,153,000","29,591,741,000","24,300,885,000","20,782,808,000","19,147,490,000","23,174,057,000","17,991,050,000","20,933,018,000","20,283,740,000","20,232,495,000","14,627,988,000","16,642,148,000","11,826,570,000"
EBIT,"41,411,661,000","27,268,677,000","21,995,401,000","18,498,047,000","16,920,013,000","21,035,763,000","15,880,470,000","18,904,322,000","18,417,660,000","18,611,139,000","13,066,450,000","15,133,104,000","10,267,655,000"
EBT,"32,954,244,000","18,962,513,000","15,807,807,000","14,073,105,000","13,683,280,000","14,787,680,000","11,329,995,000","10,905,412,000","8,635,446,000","9,906,961,000","7,730,531,000","8,722,880,000","8,059,525,000"
Tax,"9,341,051,000","5,850,973,000","5,190,722,000","4,626,056,000","4,612,229,000","4,988,971,000","3,600,151,000","3,551,431,000","2,564,159,000","3,380,288,000","2,641,405,000","3,050,525,000","93,382,000"
PAT,"23,613,193,000","13,111,540,000","10,617,085,000","9,447,049,000","9,071,051,000","9,798,709,000","7,729,844,000","7,353,981,000","6,071,287,000","6,526,673,000","5,089,126,000","5,672,355,000","7,966,143,000"
EPS,26.83,14.9,12.06,10.73,10.31,11.13,8.78,8.35,6.9,7.41,5.78,6.44,9.05
