Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Payout,0.00,17.76,77.00,0.00,0.00,47.21,86.48,0.00,0.00,268.51
Plow Back,100.00,82.24,23.00,100.00,100.00,52.79,13.52,100.00,100.00,-168.51
Return on Equity,-7.27,6.55,4.99,-25.96,-6.16,9.28,4.41,1.23,0.22,1.72
Return on Assets,-2.47,2.56,1.22,-5.31,-1.45,2.81,1.93,0.50,0.07,0.63
Book Value per Share,39.84,43.00,20.84,19.81,25.07,27.40,26.23,24.45,20.68,21.63
Earning Per Share,-3.01,1.98,1.04,-5.14,-1.54,2.54,1.16,0.30,0.05,0.37
Net Working Capital to Total Asseets,0.11,0.03,0.05,0.04,0.06,0.03,0.02,0.01,-0.11,-0.06
Current Ratio,1.40,1.12,1.16,1.13,1.21,1.15,1.07,1.03,0.73,0.82
Acid Test,0.43,0.33,0.37,0.51,0.73,0.80,0.57,0.51,0.37,0.18
Times Interest Earned,-0.15,2.03,1.36,-0.46,1.00,2.72,1.96,1.50,1.08,1.29
Total Debt Ratio,0.66,0.61,0.76,0.80,0.76,0.70,0.56,0.59,0.68,0.64
Debt To Equity,1.94,1.55,3.10,3.89,3.25,2.30,1.29,1.46,2.14,1.75
Return on Capital Employed,-0.01,0.10,0.07,-0.03,0.04,0.07,0.07,0.08,0.09,0.09
Average Collection Period,39.94,5.64,11.23,59.52,79.55,35.65,19.70,7.49,19.53,1.84
Days sales Inventory,161.77,92.78,99.75,124.65,73.77,31.75,33.02,41.19,48.50,69.26
Total Assets Turnover,0.54,0.90,0.97,0.61,0.77,0.99,1.47,1.32,1.26,1.22
Gross Profit Margin,-7.20,13.03,11.27,2.57,4.91,10.30,7.26,9.83,8.99,12.24
Net Profit Margin,-4.54,2.85,1.25,-8.69,-1.88,2.83,1.32,0.38,0.06,0.51
