Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,20.34,25.92,61.02,21.03,41.86,9.79,24.45,23.26,0.00,0.00,0.00
Plow Back,100.00,79.66,74.08,38.98,78.97,58.14,90.20,75.55,76.74,100.00,100.00,100.00
Return on Equity,-2.37,12.55,16.58,23.16,32.01,30.77,36.74,43.58,44.20,3.03,-16.71,1.19
Return on Assets,-1.39,7.88,12.78,17.56,22.79,19.47,22.29,24.39,18.02,0.70,-3.78,0.31
Book Value per Share,93.23,97.94,116.35,99.06,89.12,69.88,55.58,46.92,29.17,16.33,15.23,17.64
Earning Per Share,-2.21,12.29,19.29,22.94,28.53,21.50,20.42,20.45,12.90,0.49,-2.55,0.21
Net Working Capital to Total Asseets,-0.03,0.00,0.29,0.30,0.31,0.25,0.23,0.17,-0.06,-0.09,-0.21,-0.15
Current Ratio,0.86,1.01,2.83,3.21,2.83,2.05,1.89,1.80,0.80,0.70,0.43,0.56
Acid Test,0.34,0.63,2.07,2.39,2.19,1.71,1.49,1.05,0.22,0.21,0.15,0.23
Times Interest Earned,-0.36,80.80,38.27,64.97,80.04,50.47,29.30,16.14,4.25,1.18,0.42,1.03
Total Debt Ratio,0.41,0.37,0.23,0.24,0.29,0.37,0.39,0.44,0.59,0.77,0.77,0.74
Debt To Equity,0.70,0.59,0.30,0.32,0.40,0.58,0.65,0.79,1.45,3.34,3.42,2.80
Return on Capital Employed,-0.01,0.14,0.21,0.32,0.39,0.37,0.43,0.47,0.42,0.13,0.05,0.12
Average Collection Period,15.97,16.66,17.53,9.27,6.74,6.46,2.35,0.41,0.18,0.75,1.98,1.91
Days sales Inventory,105.27,67.45,111.61,108.01,100.99,66.14,67.89,90.37,95.50,96.10,101.40,138.21
Total Assets Turnover,0.35,0.50,0.58,0.67,0.72,0.73,0.90,1.05,1.01,0.67,0.43,0.39
Gross Profit Margin,-0.21,26.67,32.39,43.04,46.34,38.60,37.65,38.60,30.62,15.23,9.48,23.69
Net Profit Margin,-3.93,15.78,22.17,26.18,31.44,26.64,24.71,23.30,17.82,1.05,-8.88,0.80
