Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"7,548,782,000","7,504,738,000","8,282,641,000","8,223,861,000","7,283,936,000","11,661,064,000","14,958,166,000","12,348,309,000","12,119,914,000","10,902,089,000","9,467,394,000","8,334,341,000","7,387,857,000"
COGS,"5,391,882,000","5,946,315,000","7,019,967,000","6,988,329,000","6,174,928,000","10,292,710,000","13,379,179,000","10,960,843,000","10,820,646,000","10,010,742,000","8,629,255,000","7,239,966,000","6,432,159,000"
Gross Profit,"2,156,900,000","1,558,423,000","1,262,674,000","1,235,532,000","1,109,008,000","1,368,354,000","1,578,987,000","1,387,466,000","1,299,268,000","891,347,000","838,139,000","1,094,375,000","955,698,000"
Administrative Expenses,"289,925,000","707,978,000","266,101,000","254,976,000","274,268,000","265,258,000","253,114,000","224,976,000","198,092,000","210,236,000","184,249,000","182,523,000","232,198,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"830,547,000","505,710,000","268,304,000","177,972,000","140,469,000","263,121,000","263,240,000","310,134,000","259,633,000","79,858,000","5,545,000","47,796,000","84,307,000"
Other Income,"324,000","206,857,000","1,869,000","2,294,000","1,390,000","3,784,000","8,985,000","15,362,000","8,944,000","40,667,000","58,970,000","54,185,000","20,500,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,"2,291,241,000","1,457,648,000","1,370,382,000","1,343,562,000","1,184,683,000","1,434,005,000","1,636,417,000","1,447,913,000","1,388,997,000","1,003,957,000","987,983,000","1,223,431,000","997,724,000"
EBIT,"1,867,299,000","1,057,302,000","998,442,000","982,850,000","836,130,000","1,106,880,000","1,334,858,000","1,177,852,000","1,110,120,000","721,778,000","712,860,000","966,037,000","744,000,000"
EBT,"1,036,752,000","551,592,000","730,138,000","804,878,000","695,661,000","843,759,000","1,071,618,000","867,718,000","850,487,000","641,920,000","707,315,000","918,241,000","659,693,000"
Tax,"94,000","115,000","240,000","711,000","445,000","1,283,000","3,054,000","3,264,000","3,130,000","12,456,000","20,023,000","13,185,000","5,000,000"
PAT,"1,036,658,000","551,477,000","729,898,000","804,167,000","695,216,000","842,476,000","1,068,564,000","864,454,000","847,357,000","629,464,000","687,292,000","905,056,000","654,693,000"
EPS,6.12,3.25,4.31,4.75,4.1,4.97,6.31,5.1,5,3.71,4.06,5.34,3.86
