Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,29.92,40.46,42.02,57.00,41.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,70.08,59.54,57.98,43.00,58.82,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,10.32,10.52,16.89,16.45,17.86,11.88,5.59,1.42,6.04,3.95,-15.33,-0.07
Return on Assets,6.85,6.69,11.34,11.13,11.85,7.26,3.16,0.77,2.99,1.63,-3.72,-0.03
Book Value per Share,56.69,52.86,49.31,45.90,47.59,40.09,35.32,33.35,32.88,48.34,19.71,34.26
Earning Per Share,5.85,5.64,8.33,7.55,8.50,4.76,1.97,0.47,2.20,1.91,-3.02,-0.02
Net Working Capital to Total Asseets,0.02,-0.02,0.01,0.05,0.01,-0.03,-0.13,-0.15,-0.14,-0.13,-0.19,-0.01
Current Ratio,1.09,0.93,1.05,1.20,1.03,0.91,0.69,0.63,0.67,0.72,0.67,0.97
Acid Test,0.41,0.50,0.54,0.66,0.56,0.52,0.35,0.34,0.38,0.39,0.36,0.61
Times Interest Earned,6.55,6.95,11.85,8.79,5.90,3.28,2.25,1.35,1.66,1.35,0.57,1.15
Total Debt Ratio,0.34,0.36,0.33,0.32,0.34,0.39,0.43,0.46,0.50,0.59,0.76,0.63
Debt To Equity,0.51,0.57,0.49,0.48,0.51,0.64,0.77,0.86,1.02,1.42,3.12,1.71
Return on Capital Employed,0.14,0.14,0.20,0.21,0.23,0.18,0.16,0.13,0.18,0.16,0.14,0.13
Average Collection Period,25.03,34.77,27.24,23.58,26.01,21.55,27.32,32.31,21.45,45.37,45.31,64.73
Days sales Inventory,90.53,73.81,63.09,76.14,67.93,63.02,64.27,72.55,70.96,115.01,105.65,112.09
Total Assets Turnover,0.83,0.72,0.84,0.84,0.90,0.95,0.93,0.73,0.74,0.63,0.72,0.56
Gross Profit Margin,16.78,13.89,14.83,18.89,17.21,12.46,14.98,16.48,15.15,18.71,14.89,15.38
Net Profit Margin,8.25,9.33,13.51,13.25,13.16,7.64,3.40,1.04,4.05,2.60,-5.20,-0.05
