Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"4,776,603,000","5,142,935,000","5,652,212,000","5,148,787,000","6,127,374,000","7,379,579,000","4,975,814,000","6,051,127,000","9,852,587,000","8,890,314,000","9,335,514,000","9,952,791,000"
Investments,"3,452,081,000",0,0,0,0,0,"4,500,000,000","4,500,000,000",0,"364,644,000",0,0
Cash in Hand and Bank,"8,057,563,000","4,220,756,000","5,043,188,000","3,319,250,000","1,789,081,000","1,025,890,000","2,462,034,000","225,134,000","4,505,251,000","6,910,308,000","5,437,940,000","16,446,000"
Stores and Spares,"1,201,478,000","866,638,000","848,828,000","934,664,000","966,659,000","1,057,920,000","794,770,000","728,025,000","694,745,000","494,231,000","400,715,000","548,868,000"
Stock in Trade,"4,482,468,000","5,238,450,000","3,361,974,000","3,143,174,000","3,168,280,000","2,784,277,000","2,973,270,000","4,480,516,000","4,669,004,000","2,655,203,000","1,273,922,000","1,244,313,000"
Trade Debts,"3,440,258,000","3,401,047,000","2,817,600,000","1,891,825,000","1,778,079,000","1,316,984,000","2,780,329,000","3,300,360,000","3,143,244,000","2,937,816,000","1,800,772,000","1,089,614,000"
Current Assets,"22,005,809,000","15,570,196,000","13,152,180,000","10,661,369,000","9,601,349,000","8,469,515,000","10,462,034,000","10,310,492,000","13,900,632,000","13,896,908,000","9,543,763,000","5,149,368,000"
Quick Assets,"16,321,863,000","9,465,108,000","8,941,378,000","6,583,531,000","5,466,410,000","4,627,318,000","6,693,994,000","5,101,951,000","8,536,883,000","10,747,474,000","7,869,126,000","3,356,187,000"
Total Assets,"27,526,193,000","21,274,130,000","20,541,037,000","17,538,322,000","17,247,076,000","16,893,183,000","20,043,156,000","20,987,823,000","23,900,368,000","22,896,030,000","18,976,360,000","15,222,910,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,"400,000,000",0,"38,039,000","3,651,945,000","5,674,193,000","5,396,875,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,0,0,0,0,0,0,0,"42,659,000","1,996,488,000","146,577,000","119,293,000","1,338,239,000"
* Non Interest Bearing Short Term Liability,"11,565,571,000","6,893,648,000","9,765,677,000","7,187,876,000","7,228,835,000","6,133,125,000","7,631,018,000","8,002,315,000","7,619,708,000","7,789,307,000","5,112,220,000","4,328,596,000"
Trades Payables,"11,330,495,000","6,682,630,000","9,597,518,000","7,028,293,000","7,069,252,000","5,980,316,000","7,445,711,000","7,854,630,000","7,479,634,000","7,652,365,000","4,972,671,000","3,901,133,000"
Total Current Liabilities,"11,600,494,000","8,629,423,000","9,765,677,000","7,187,876,000","7,228,835,000","6,133,125,000","7,631,018,000","8,044,974,000","9,616,196,000","8,054,478,000","5,750,627,000","5,666,835,000"
Total Liabilities,"11,734,142,000","8,754,905,000","9,863,957,000","7,263,240,000","7,290,271,000","6,187,665,000","8,465,897,000","8,845,944,000","10,817,668,000","13,207,648,000","11,439,960,000","11,069,783,000"
Paid Up Capital,"15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000","15,142,072,000"
Reserves,"649,979,000","-2,622,847,000","-4,464,992,000","-4,866,990,000","-5,185,267,000","-4,436,554,000","-3,564,813,000","-3,000,193,000","-2,059,372,000","-5,539,682,000","-7,691,664,000","-11,074,937,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,"85,992,000","85,992,000","85,992,000"
Shareholder Equity,"15,792,051,000","12,519,225,000","10,677,080,000","10,275,082,000","9,956,805,000","10,705,518,000","11,577,259,000","12,141,879,000","13,082,700,000","9,688,382,000","7,536,400,000","4,153,127,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,514,207,200","1,514,207,200","1,514,207,200","1,514,207,208","1,514,207,208","1,514,207,208","1,514,207,208","1,514,207,208","1,514,207,208","1,514,207,208","1,514,207,208","1,514,207,208"
