Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"60,539,754,000","57,400,241,000","37,034,324,000","34,785,035,000","33,862,567,000","47,800,070,000","57,069,684,000","52,823,257,000","57,577,198,000","42,401,588,000","37,773,532,000","32,936,220,000"
COGS,"52,663,659,000","50,018,605,000","35,836,664,000","34,080,207,000","34,119,300,000","49,769,239,000","57,780,354,000","53,037,852,000","50,914,635,000","35,369,663,000","31,898,113,000","32,067,881,000"
Gross Profit,"7,876,095,000","7,381,636,000","1,197,660,000","704,828,000","-256,733,000","-1,969,169,000","-710,670,000","-214,595,000","6,662,563,000","7,031,925,000","5,875,419,000","868,339,000"
Administrative Expenses,"422,635,000","387,655,000","350,938,000","332,013,000","343,434,000","397,737,000","329,043,000","304,659,000","330,463,000","268,291,000","215,709,000","201,069,000"
Selling & Distributive Expenses,"103,581,000","102,444,000","93,462,000","78,004,000","81,272,000","180,268,000","120,104,000","132,519,000","197,208,000","109,983,000","121,252,000","56,422,000"
Financial Charges,"156,497,000","505,129,000","52,398,000","9,539,000","25,868,000","-78,887,000","126,835,000","146,054,000","232,437,000","229,225,000","307,330,000","1,027,497,000"
Other Income,"1,228,637,000","514,501,000","248,610,000","213,573,000","99,183,000","118,079,000","970,053,000","573,985,000","808,583,000","892,998,000","478,838,000","153,776,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"642,814,000","555,343,000","54,587,000","28,435,000","20,212,000","13,540,000","31,567,000","22,346,000","502,492,000","605,923,000","990,723,000","1,415,817,000"
EBITDA,"8,811,292,000","7,696,574,000","1,596,972,000","1,695,476,000","807,149,000","-1,051,987,000","1,004,247,000","1,265,137,000","7,757,723,000","8,184,628,000","6,232,461,000","542,533,000"
EBIT,"7,935,702,000","6,850,695,000","947,283,000","479,949,000","-602,468,000","-2,442,635,000","-221,331,000","-100,134,000","6,440,983,000","6,940,726,000","5,026,573,000","-651,193,000"
EBT,"7,779,205,000","6,345,566,000","894,885,000","470,410,000","-628,336,000","-2,363,748,000","-348,166,000","-246,188,000","6,208,546,000","6,711,501,000","4,719,243,000","-1,678,690,000"
Tax,"2,236,875,000","1,914,466,000","482,589,000","146,579,000","119,314,000","-1,263,277,000","197,936,000","-62,471,000","2,031,015,000","2,183,733,000","1,335,970,000","81,775,000"
PAT,"5,542,330,000","4,431,100,000","412,296,000","323,831,000","-747,650,000","-1,100,471,000","-546,102,000","-183,717,000","4,177,531,000","4,527,768,000","3,383,273,000","-1,760,465,000"
EPS,3.66,2.93,0.27,0.21,-0.49,-0.73,-0.36,-0.12,2.76,2.99,2.23,-1.16
