Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"41,870,796,000","48,021,399,000","47,541,724,000","45,687,043,000","45,222,089,000","44,761,307,000","43,083,169,000","37,810,456,000","33,322,535,000","26,017,519,000","24,508,793,000","26,330,404,000"
COGS,"35,794,031,000","34,037,568,000","30,589,363,000","24,388,760,000","23,421,515,000","24,578,219,000","24,393,064,000","21,089,359,000","20,601,261,000","17,306,400,000","16,529,932,000","16,519,138,000"
Gross Profit,"6,076,765,000","13,983,831,000","16,952,361,000","21,298,283,000","21,800,574,000","20,183,088,000","18,690,105,000","16,721,097,000","12,721,274,000","8,711,119,000","7,978,861,000","9,811,266,000"
Administrative Expenses,"1,189,638,000","1,227,872,000","1,089,446,000","1,021,694,000","1,095,504,000","917,635,000","760,269,000","897,305,000","474,135,000","313,389,000","303,244,000","165,936,000"
Selling & Distributive Expenses,"3,699,154,000","2,728,809,000","1,992,454,000","1,703,785,000","2,073,181,000","3,127,018,000","3,382,156,000","3,665,578,000","3,236,721,000","3,236,425,000","3,433,047,000","2,427,837,000"
Financial Charges,"176,378,000",0,0,0,"23,884,000","25,750,000","34,225,000","89,258,000","253,234,000","517,788,000","569,184,000","1,236,971,000"
Other Income,"3,185,859,000","3,241,682,000","2,594,563,000","1,993,472,000","1,420,461,000","1,241,450,000","977,942,000","247,928,000","5,204,000","2,486,000","1,902,000","23,255,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"377,526,000","1,047,617,000","1,346,369,000","1,788,023,000","1,628,244,000","1,442,341,000","1,035,032,000","616,350,000","438,411,000","325,482,000","257,774,000","826,776,000"
EBITDA,"7,850,743,000","15,541,852,000","18,134,795,000","21,410,344,000","20,993,183,000","18,227,308,000","16,563,893,000","13,675,259,000","10,308,309,000","6,410,345,000","5,399,160,000","7,562,190,000"
EBIT,"3,996,306,000","12,221,215,000","15,118,655,000","18,778,253,000","18,424,106,000","15,937,544,000","14,490,590,000","11,789,792,000","8,577,211,000","4,838,309,000","3,986,698,000","6,413,972,000"
EBT,"3,819,928,000","12,221,215,000","15,118,655,000","18,778,253,000","18,400,222,000","15,911,794,000","14,456,365,000","11,700,534,000","8,323,977,000","4,320,521,000","3,417,514,000","5,177,001,000"
Tax,"475,995,000","1,730,986,000","2,921,565,000","5,086,004,000","5,456,037,000","3,480,196,000","3,111,962,000","269,494,000","1,541,561,000","350,121,000","280,057,000","580,452,000"
PAT,"3,343,933,000","10,490,229,000","12,197,090,000","13,692,249,000","12,944,185,000","12,431,598,000","11,344,403,000","9,713,948,000","6,782,416,000","3,970,400,000","3,137,457,000","4,596,549,000"
EPS,10.34,32.44,37.72,42.34,40.03,38.44,35.08,30.04,20.97,12.28,9.7,14.21
