Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,20.04,34.47,28.34,24.98,23.41,25.66,26.63,28.61,32.58,41.23,28.14
Plow Back,100.00,79.96,65.53,71.66,75.02,76.59,74.34,73.37,71.39,67.42,58.77,71.86
Return on Equity,3.37,11.12,14.12,17.16,18.67,20.98,22.78,23.67,20.39,14.30,12.50,19.77
Return on Assets,2.46,8.39,11.19,14.07,15.06,17.01,18.97,19.35,16.69,9.63,8.19,11.97
Book Value per Share,306.71,291.67,267.08,246.73,214.37,183.25,153.98,126.90,103.18,85.88,77.61,71.90
Earning Per Share,10.34,32.44,37.72,42.34,40.03,38.44,35.08,30.04,20.97,12.28,9.70,14.21
Net Working Capital to Total Asseets,-0.00,0.08,0.25,0.37,0.35,0.27,0.25,0.18,0.15,-0.03,-0.07,-0.03
Current Ratio,0.98,1.42,2.82,4.48,4.09,3.64,4.37,3.38,2.64,0.88,0.71,0.86
Acid Test,0.65,0.95,2.12,3.67,3.30,2.75,2.65,1.66,0.80,0.18,0.23,0.36
Times Interest Earned,22.66,0.00,0.00,0.00,771.40,618.93,423.39,132.09,33.87,9.34,7.00,5.19
Total Debt Ratio,0.27,0.25,0.21,0.18,0.19,0.19,0.17,0.18,0.18,0.33,0.34,0.39
Debt To Equity,0.37,0.33,0.26,0.22,0.24,0.23,0.20,0.22,0.22,0.48,0.53,0.65
Return on Capital Employed,0.04,0.12,0.16,0.22,0.24,0.24,0.26,0.25,0.23,0.16,0.14,0.22
Average Collection Period,29.84,15.65,18.61,12.64,17.61,16.65,17.60,16.11,11.51,8.71,11.61,17.57
Days sales Inventory,97.17,118.63,126.24,125.76,118.16,97.66,115.48,114.41,118.22,159.49,101.95,101.82
Total Assets Turnover,0.31,0.38,0.44,0.47,0.53,0.61,0.72,0.75,0.82,0.63,0.64,0.69
Gross Profit Margin,14.51,29.12,35.66,46.62,48.21,45.09,43.38,44.22,38.18,33.48,32.55,37.26
Net Profit Margin,7.99,21.84,25.66,29.97,28.62,27.77,26.33,25.69,20.35,15.26,12.80,17.46
