Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"1,935,662,870","1,415,678,086","1,177,261,267","808,213,675","799,407,426","828,644,006","760,901,866","673,500,047","540,839,060","577,507,431","710,061,643","796,740,542"
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"18,194,200","52,982,605","33,835,307","5,562,050","13,243,508","14,632,523","11,336,312","4,869,753","1,624,860","6,273,718","176,613","3,918,027"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,"328,537,630","375,659,628","491,245,840","443,967,763","465,317,624","244,044,010","248,667,073","238,624,594","213,889,611","155,734,668","29,497,179","15,251,757"
Trade Debts,"258,326,902","437,176,473","398,482,218","239,828,158","232,860,113","263,421,032","159,775,636","178,535,689","155,584,374","46,995,849","28,450,023","45,255,628"
Current Assets,"1,024,794,484","1,073,282,055","1,043,934,040","741,461,399","745,619,885","537,326,144","459,610,413","503,070,524","435,018,907","261,049,545","90,091,441","95,001,538"
Quick Assets,"696,256,854","697,622,427","552,688,200","297,493,636","280,302,261","293,282,134","210,943,340","264,445,930","221,129,296","105,314,877","60,594,262","79,749,781"
Total Assets,"2,973,952,145","2,496,159,544","2,232,221,015","1,560,790,819","1,556,765,345","1,373,346,478","1,282,450,860","1,246,160,754","1,123,575,166","980,664,388","942,655,274","1,001,393,475"
Interest Bearing Long Term Liability,"269,605,521","291,125,444","3,623,788",0,"46,275,908","89,112,621","60,479,493",0,0,"58,360,810","183,092,657","308,182,168"
Non Interest Bearing Long Term Liability,0,0,0,0,"143,260,457","148,260,457","148,260,457","196,760,457","196,760,457","196,760,457","196,760,457","196,760,457"
Interest Bearing Short Term Liability,"485,809,504","539,071,833","121,655,286","164,916,579","71,647,655","68,294,452","68,639,671",0,"90,805,064","128,050,987","258,660,658","317,225,901"
* Non Interest Bearing Short Term Liability,"748,945,168","856,313,519","1,054,875,067","651,225,466","596,232,672","416,900,258","471,767,417","518,920,447","326,782,959","345,067,333","214,394,101","188,122,601"
Trades Payables,"732,579,376","848,601,291","1,051,838,322","507,193,814","595,705,014","416,059,707","467,642,307","518,920,447","326,782,959","281,331,700","195,072,679","66,739,609"
Total Current Liabilities,"1,340,899,057","1,396,578,305","1,177,400,669","799,079,118","667,880,327","485,194,709","540,407,088","526,230,515","429,542,470","481,997,805","473,054,759","505,348,502"
Total Liabilities,"1,762,125,064","1,843,520,701","1,327,117,947","967,312,910","1,002,879,851","865,856,151","835,862,711","734,418,121","762,218,540","877,543,753","1,011,725,517","1,042,778,628"
Paid Up Capital,"593,011,500","593,011,500","593,011,500","388,860,000","388,860,000","388,860,000","388,860,000","388,860,000","388,860,000","388,860,000","388,860,000","388,860,000"
Reserves,"-4,224,419","59,627,344","312,091,568","204,617,909","165,025,494","118,630,327","57,728,149","122,882,633","-27,503,374","-285,739,365","-457,930,243","-430,245,153"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"623,040,000",0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,211,827,081","652,638,844","905,103,068","593,477,909","553,885,494","507,490,327","446,588,149","511,742,633","361,356,626","103,120,635","-69,070,243","-41,385,153"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"59,301,150","59,301,150","59,301,150","38,886,000","38,886,000","38,886,000","38,886,000","38,886,000","38,886,000","38,886,000","38,886,000","38,886,000"
