Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"2,164,953,856","2,415,339,316","2,125,159,243","1,515,691,745","1,309,860,044","1,342,753,084","1,195,122,436","1,462,013,514","1,195,444,744","887,948,494","227,956,390","133,066,218"
COGS,"2,107,605,178","2,311,924,882","1,902,336,855","1,263,002,642","1,080,579,539","1,095,950,647","1,077,139,093","1,204,060,050","906,076,912","693,316,040","236,171,084","190,446,416"
Gross Profit,"57,348,678","103,414,434","222,822,388","252,689,103","229,280,505","246,802,437","117,983,343","257,953,464","289,367,832","194,632,454","-8,214,694","-57,380,198"
Administrative Expenses,"88,211,804","89,002,331","78,339,177","71,102,447","56,734,135","48,855,135","41,449,140","41,375,010","25,442,364","29,616,667","17,995,743","17,855,322"
Selling & Distributive Expenses,"26,941,488","29,607,769","24,832,852","22,678,984","22,615,359","13,277,803","9,669,009","10,132,404","5,922,481","3,455,232","3,903,653","4,856,156"
Financial Charges,"157,005,124","88,709,026","22,533,650","26,643,492","23,226,828","37,027,629","20,667,414","7,301,190","2,357,184","13,280,591","60,530,566","48,703,774"
Other Income,"203,348,947","20,020,390","7,390,107","6,267,715","6,518,626","1,714,007","1,772,529","127,002,684","41,084,859","41,843,918","30,136,500","28,475,505"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"149,947,663","116,788,605","38,424,138","12,438,732","17,066,515","20,650,523","16,607,661","32,038,157","26,540,224","9,053,518",0,0
EBITDA,"128,506,264","-16,333,181","163,080,632","227,244,654","212,740,990","221,718,572","98,777,092","352,328,990","327,520,880","256,161,403","74,113,033","28,176,424"
EBIT,"-4,403,330","-111,963,881","88,616,328","152,736,655","139,383,122","165,732,983","52,030,062","301,410,577","272,547,622","194,350,955","22,410","-51,616,171"
EBT,"-161,408,454","-200,672,907","66,082,678","126,093,163","116,156,294","128,705,354","31,362,648","294,109,387","270,190,438","181,070,364","-60,508,156","-100,319,945"
Tax,"-98,553,356","33,244,793","11,234,120","47,821,598","29,784,267","66,882,013","55,714,220","85,394,380","11,954,447","8,879,485","-32,823,066","9,318,889"
PAT,"-62,855,098","-233,917,700","54,848,558","78,271,565","86,372,027","61,823,341","-24,351,572","208,715,007","258,235,991","172,190,879","-27,685,090","-109,638,834"
EPS,-1.06,-3.94,0.99,2.01,2.22,1.59,-0.63,5.37,6.64,4.43,-0.71,-2.82
