Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,21.62,34.78,45.02,62.90,0.00,9.32,15.06,0.00,0.00,0.00
Plow Back,100.00,100.00,78.38,65.22,54.98,37.10,100.00,90.68,84.94,100.00,100.00,100.00
Return on Equity,-5.19,-35.84,6.06,13.19,15.59,12.18,-5.45,40.78,71.46,166.98,0.00,0.00
Return on Assets,-2.11,-9.37,2.46,5.01,5.55,4.50,-1.90,16.75,22.98,17.56,-2.94,-10.95
Book Value per Share,20.44,11.01,15.26,15.26,14.24,13.05,11.48,13.16,9.29,2.65,-1.78,-1.06
Earning Per Share,-1.06,-3.94,0.99,2.01,2.22,1.59,-0.63,5.37,6.64,4.43,-0.71,-2.82
Net Working Capital to Total Asseets,-0.11,-0.13,-0.06,-0.04,0.05,0.04,-0.06,-0.02,0.00,-0.23,-0.41,-0.41
Current Ratio,0.76,0.77,0.89,0.93,1.12,1.11,0.85,0.96,1.01,0.54,0.19,0.19
Acid Test,0.52,0.50,0.47,0.37,0.42,0.60,0.39,0.50,0.51,0.22,0.13,0.16
Times Interest Earned,-0.03,-1.26,3.93,5.73,6.00,4.48,2.52,41.28,115.62,14.63,0.00,-1.06
Total Debt Ratio,0.59,0.74,0.59,0.62,0.64,0.63,0.65,0.59,0.68,0.89,1.07,1.04
Debt To Equity,1.45,2.82,1.47,1.63,1.81,1.71,1.87,1.44,2.11,8.51,-14.65,-25.20
Return on Capital Employed,-0.00,-0.10,0.08,0.20,0.16,0.19,0.07,0.42,0.39,0.39,0.00,-0.10
Average Collection Period,43.55,66.06,68.44,57.75,64.89,71.61,48.80,44.57,47.50,19.32,45.55,124.14
Days sales Inventory,56.90,59.31,94.25,128.30,157.18,81.28,84.26,72.34,86.16,81.99,45.59,29.23
Total Assets Turnover,0.73,0.97,0.95,0.97,0.84,0.98,0.93,1.17,1.06,0.91,0.24,0.13
Gross Profit Margin,2.65,4.28,10.48,16.67,17.50,18.38,9.87,17.64,24.21,21.92,-3.60,-43.12
Net Profit Margin,-2.90,-9.69,2.58,5.16,6.59,4.60,-2.04,14.28,21.60,19.39,-12.14,-82.39
