Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"218,482,439","267,951,455","333,180,026","415,484,200","503,680,965","608,174,155","717,353,139","833,344,358","944,673,377","1,333,004,815","1,324,349,538","1,331,857,329","1,153,635,259"
Investments,0,0,0,0,0,0,0,0,0,0,0,"75,000,000","155,772,150"
Cash in Hand and Bank,"3,469,448","88,218","710,626","2,686,663","5,430,311","2,844,312","1,051,966","1,781,805","4,675,804","7,824,258","18,461,424","9,177,999","41,338,308"
Stores and Spares,0,"544,433","836,213","1,676,030","1,470,039","1,572,719","1,629,547","3,366,939","5,456,063","7,154,508","24,156,017","95,356,362","73,624,881"
Stock in Trade,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Debts,"45,546,646","40,975,021","99,366,051","132,019,073","120,393,758","110,837,024","114,086,938","126,691,036","103,506,322","134,580,854","196,072,374","189,215,583","216,185,413"
Current Assets,"55,765,345","50,448,918","124,014,274","153,976,860","170,480,824","161,739,676","178,064,026","190,107,177","153,867,988","268,892,482","379,126,631","529,519,922","512,521,970"
Quick Assets,"55,765,345","49,904,485","123,178,061","152,300,830","169,010,785","160,166,957","176,434,479","186,740,238","148,411,925","261,737,974","354,970,614","434,163,560","438,897,089"
Total Assets,"281,892,721","326,192,118","465,043,089","577,788,897","682,441,434","778,582,776","909,020,754","1,357,016,385","1,429,232,515","1,989,841,361","2,022,251,561","2,203,368,564","2,049,108,464"
Interest Bearing Long Term Liability,"264,614,697","264,756,697","248,587,697","194,187,697","183,367,707","163,605,481","121,598,742","103,843,742","72,961,018","452,129,850","391,754,836","372,161,279","474,248,632"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"74,235,463","71,575,509","68,915,555","68,731,109","67,567,154","65,295,288","63,471,090","63,777,320","65,977,320","62,111,561","90,376,078","274,410,454","294,197,169"
* Non Interest Bearing Short Term Liability,"762,991,181","696,502,301","594,180,249","529,133,575","572,298,749","494,438,246","444,294,230","357,012,822","283,679,496","219,261,877","129,828,262","81,563,437","125,595,158"
Trades Payables,"545,414,283","527,913,128","474,866,665","473,713,616","495,107,146","431,238,363","395,884,922","320,928,706","268,039,747","215,305,749","128,843,485","74,480,842","91,576,672"
Total Current Liabilities,"842,075,069","776,576,393","663,095,804","597,864,684","639,865,903","559,733,534","523,204,245","430,929,929","349,656,816","281,373,438","220,204,340","355,973,891","419,792,327"
Total Liabilities,"1,126,724,357","1,067,792,620","943,640,210","825,270,383","851,946,584","799,458,622","715,544,043","596,289,729","479,534,714","787,941,496","657,189,038","764,678,674","923,529,324"
Paid Up Capital,"1,788,510,100","1,788,510,100","1,788,510,100","1,788,510,100","1,788,510,100","1,788,510,100","1,788,510,100","1,788,510,100","1,788,510,100","1,341,382,580","1,341,382,580","1,341,382,580","1,004,782,580"
Reserves,"-2,633,341,736","-2,530,110,602","-2,267,107,221","-2,035,991,586","-1,958,015,250","-1,809,385,946","-1,595,033,389","-1,027,783,444","-838,812,299","-139,482,715","23,679,943","97,307,310","120,796,560"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"-844,831,636","-741,600,502","-478,597,121","-247,481,486","-169,505,150","-20,875,846","193,476,711","760,726,656","949,697,801","1,201,899,865","1,365,062,523","1,438,689,890","1,125,579,140"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"178,851,010","178,851,010","178,851,010","178,851,010","178,851,010","178,851,010","178,851,010","178,851,010","178,851,010","134,138,258","134,138,258","134,138,258","100,478,258"
