Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"156,452,269","177,165,827","354,887,897","385,849,282","377,892,177","325,619,043","310,049,444","311,482,822","275,233,804","378,729,276","498,588,391","504,415,423","460,534,464"
COGS,"138,482,342","193,689,028","315,650,917","337,955,925","394,220,271","405,691,606","374,305,795","344,564,683","729,931,872","326,925,603","374,137,288","324,818,942","229,252,261"
Gross Profit,"17,969,927","-16,523,201","39,236,980","47,893,357","-16,328,094","-80,072,563","-64,256,351","-33,081,861","-454,698,068","51,803,673","124,451,103","179,596,481","231,282,203"
Administrative Expenses,"83,868,498","133,540,539","209,822,482","148,608,275","140,115,496","141,836,927","167,983,100","141,186,901","216,099,539","204,995,504","193,106,298","187,097,781","133,489,185"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"52,105,497","52,457,688","67,623,390","20,542,271","19,826,834","19,046,971","17,814,997","21,021,896","57,616,230","82,929,801","42,452,371","38,145,224","19,719,849"
Other Income,"10,871,364","-27,556,217","37,156,935","47,536,472","39,608,623","31,364,455","12,964,533","7,876,927","29,084,253","9,623,246","2,803,439","17,063,049","4,836,993"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"486,039","13,610,568","18,331,229","158,315","7,383,265","6,923,416","151,427,266",0,0,0,0,0,0
EBITDA,"-7,163,416","-135,694,117","-80,954,843","37,433,643","-15,842,235","-89,111,792","-260,987,921","-53,809,360","-513,726,857","-26,673,586","64,149,703","100,238,064","178,689,760"
EBIT,"-55,513,246","-191,230,525","-151,759,796","-53,336,761","-124,218,232","-197,468,451","-370,702,184","-166,391,835","-641,713,354","-143,568,585","-65,851,756","14,386,349","153,075,378"
EBT,"-107,618,743","-243,688,213","-219,383,186","-73,879,032","-144,045,066","-216,515,422","-388,517,181","-187,413,731","-699,329,584","-226,498,386","-108,304,127","-23,758,875","133,355,529"
Tax,"2,400,309","817,911","9,888,393","6,193,541","4,318,968",0,"176,714,532","1,557,414",0,"-63,335,728","-34,676,760","-21,180,218","23,672,594"
PAT,"-110,019,052","-244,506,124","-229,271,579","-80,072,573","-148,364,034","-216,515,422","-565,231,713","-188,971,145","-699,329,584","-163,162,658","-73,627,367","-2,578,657","109,682,935"
EPS,-0.62,-1.37,-1.28,-0.45,-0.83,-1.21,-3.16,-1.06,-4.53,-1.22,-0.55,-0.02,1.4
