Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Cash in Hand and Bank,"136,242,495,000","92,193,361,000","65,022,041,000","64,556,170,000","56,036,849,000","43,685,636,000","29,728,764,000","28,582,626,000","19,125,401,000","16,641,160,000","12,780,806,000","8,387,432,000","5,763,710,000"
Lendings To Banks & Financial Inst.,"361,514,678,000","239,061,558,000","193,069,787,000","152,125,037,000","141,136,516,000","181,649,482,000","96,267,374,000","10,996,966,000","4,351,150,000","6,413,482,000","20,451,515,000","39,759,967,000","19,452,974,000"
Advances,"512,531,930,000","493,775,346,000","512,564,522,000","420,029,088,000","311,530,270,000","207,568,823,000","175,711,942,000","127,622,868,000","88,678,076,000","59,155,585,000","54,195,163,000","44,188,066,000","39,528,731,000"
Investments,"434,208,340,000","225,646,162,000","123,742,867,000","119,238,246,000","130,156,297,000","76,909,951,000","114,089,252,000","151,613,933,000","152,459,855,000","98,488,574,000","54,966,907,000","23,290,309,000","14,526,699,000"
Fixed Assets,"23,568,351,000","23,284,415,000","13,129,126,000","11,875,358,000","8,924,328,000","8,056,743,000","6,273,239,000","5,594,914,000","4,898,240,000","3,985,248,000","3,066,100,000","2,416,375,000","1,880,515,000"
Other Assets,"53,493,669,000","47,297,412,000","30,387,062,000","13,875,297,000","9,982,837,000","13,979,299,000","15,335,387,000","5,313,324,000","4,923,788,000","15,866,345,000","9,291,934,000","6,139,585,000","4,123,441,000"
Total Assets,"1,521,559,463,000","1,121,258,254,000","937,915,405,000","781,699,196,000","657,767,097,000","531,849,934,000","437,405,958,000","329,724,631,000","274,436,510,000","200,550,394,000","154,752,425,000","124,181,734,000","85,276,070,000"
Deposits,"1,254,430,534,000","932,579,114,000","785,476,944,000","673,187,807,000","564,023,853,000","471,820,959,000","380,421,569,000","289,810,519,000","230,425,986,000","170,030,431,000","131,070,328,000","100,333,051,000","70,233,875,000"
Borrowings & Bills Payable,"120,994,646,000","59,234,197,000","60,158,354,000","47,981,388,000","41,136,499,000","20,169,875,000","21,085,244,000","14,990,216,000","21,519,850,000","11,518,005,000","7,596,666,000","9,717,635,000","5,065,513,000"
Sub-Ordinated Loans,"18,000,000,000","14,000,000,000","14,000,000,000","7,000,000,000","7,000,000,000",0,0,0,0,0,0,0,0
Other Liabilites including Lease Liabilities,"58,979,017,000","56,429,531,000","37,947,052,000","18,452,608,000","15,133,127,000","13,511,990,000","12,021,378,000","6,010,653,000","5,939,916,000","5,215,607,000","5,005,440,000","4,946,589,000","4,001,704,000"
Total Liabilities,"1,452,404,197,000","1,062,242,842,000","897,582,350,000","746,621,803,000","627,293,479,000","505,502,824,000","413,528,191,000","310,811,388,000","257,885,752,000","186,764,043,000","143,672,434,000","114,997,275,000","79,301,092,000"
Net Assets,"69,155,266,000","59,015,412,000","40,333,055,000","35,077,393,000","30,473,618,000","26,347,110,000","23,877,767,000","18,913,243,000","16,550,758,000","13,786,351,000","11,079,991,000","9,184,459,000","5,974,978,000"
Paid Up Capital,"14,147,228,000","12,861,116,000","11,691,924,000","10,629,022,000","10,027,379,000","10,027,379,000","10,027,379,000","10,027,379,000","9,033,675,000","8,029,933,000","6,982,550,000","6,650,048,000","4,925,961,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserves,"49,445,746,000","36,753,461,000","28,687,014,000","23,709,398,000","18,121,694,000","15,529,405,000","13,234,778,000","7,880,771,000","6,448,063,000","5,298,740,000","3,757,573,000","2,440,487,000","1,415,136,000"
Surplus On Revaluation,"5,562,292,000","9,400,835,000","-45,883,000","738,973,000","2,324,545,000","790,326,000","615,610,000","1,005,093,000","1,069,020,000","457,678,000","339,868,000","93,924,000","-366,119,000"
Shareholder Equity,"69,155,266,000","59,015,412,000","40,333,055,000","35,077,393,000","30,473,618,000","26,347,110,000","23,877,767,000","18,913,243,000","16,550,758,000","13,786,351,000","11,079,991,000","9,184,459,000","5,974,978,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,414,722,800","1,286,111,600","1,169,192,400","1,062,902,200","1,002,737,895","1,002,737,895","1,002,737,895","1,002,737,895","903,367,473","802,993,310","698,255,053","665,004,813","492,596,158"
