Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"572,845,202","595,452,993","645,288,320","674,669,376","668,991,855","696,321,121","684,798,311","393,166,181","364,711,648","323,428,823","304,256,661","321,687,827","322,282,388"
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"35,392,236","18,787,336","13,111,080","15,240,080","19,686,493","13,216,209","34,314,031","37,800,677","12,354,863","13,579,771","8,127,597","13,217,682","10,909,851"
Stores and Spares,"37,342,809","53,481,584","36,064,853","27,458,358","26,879,437","29,549,570","19,457,038","15,026,848","12,491,433","9,293,902","12,426,849","12,781,281","13,305,761"
Stock in Trade,"335,418,696","277,274,045","461,616,862","413,163,837","376,429,996","313,067,277","405,756,555","327,371,490","342,532,608","312,065,976","230,917,920","260,382,527","288,698,972"
Trade Debts,"138,824,036","132,933,635","63,720,363","207,631,982","119,516,939","109,963,834","96,601,581","56,548,807","59,816,430","63,244,881","40,716,666","58,674,183","39,067,739"
Current Assets,"766,271,109","704,701,660","797,014,958","861,160,321","733,751,811","658,671,901","703,215,559","520,755,897","438,583,018","432,221,934","343,441,764","398,386,231","391,583,837"
Quick Assets,"393,509,604","373,946,031","299,333,243","420,538,126","330,442,378","316,055,054","278,001,966","178,357,559","83,558,977","110,862,056","100,096,995","125,222,423","89,579,104"
Total Assets,"1,380,619,277","1,343,493,757","1,493,308,822","1,564,573,836","1,415,000,146","1,368,017,363","1,401,577,120","925,322,674","814,085,703","764,390,469","656,386,691","727,907,865","721,371,715"
Interest Bearing Long Term Liability,0,0,0,0,0,"106,666,665","149,333,333",0,0,0,0,0,"7,368,418"
Non Interest Bearing Long Term Liability,0,0,"150,000,000",0,0,0,0,0,"175,000",0,0,0,0
Interest Bearing Short Term Liability,"610,615,531","655,331,857","701,991,266","674,222,175","592,768,435","419,308,429","342,640,149","97,102,844","140,987,776","154,794,581","166,615,728","307,671,564","303,447,867"
* Non Interest Bearing Short Term Liability,"559,459,326","425,590,071","310,284,223","227,419,088","132,289,857","111,734,963","173,657,317","189,879,238","1,197,065","170,390,857","107,721,330","87,816,200","89,805,848"
Trades Payables,"399,806,286","255,324,377","298,120,361","217,607,324","126,610,548","105,114,723","164,653,092","188,394,095","146,322,898","167,503,197","103,254,409","87,816,200","89,805,848"
Total Current Liabilities,"1,172,079,040","1,082,926,111","1,164,279,672","901,641,263","725,058,292","531,043,392","516,297,466","286,982,082","288,507,739","325,185,438","274,337,058","407,587,287","403,565,238"
Total Liabilities,"1,306,309,500","1,217,049,188","1,284,009,424","1,063,085,136","874,078,641","795,430,299","822,663,856","398,217,552","381,520,577","404,895,498","350,156,929","458,065,977","460,541,469"
Paid Up Capital,"78,750,000","78,750,000","78,750,000","78,750,000","78,750,000","78,750,000","78,750,000","63,000,000","50,400,000","50,400,000","50,400,000","50,400,000","50,400,000"
Reserves,"-4,440,223","47,694,569","130,549,398","422,738,700","462,171,505","493,837,064","500,163,264","464,105,122","382,165,126","309,094,971","255,829,762","219,441,888","210,430,246"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"74,309,777","126,444,569","209,299,398","501,488,700","540,921,505","572,587,064","578,913,264","527,105,122","432,565,126","359,494,971","306,229,762","269,841,888","260,830,246"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"7,875,000","7,875,000","7,875,000","7,875,000","7,875,000","7,875,000","7,875,000","6,300,000","5,040,000","5,040,000","5,040,000","5,040,000","5,040,000"
