Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"2,112,492,576","1,987,552,095","1,628,007,964","1,891,250,732","1,679,461,946","1,696,332,638","1,945,126,430","2,084,261,537","1,884,503,125","1,794,248,317","1,376,861,492","1,278,678,610","1,038,637,296"
COGS,"1,670,069,764","1,553,138,999","1,375,118,880","1,434,873,552","1,286,380,012","1,292,628,532","1,423,776,984","1,546,820,121","1,421,735,606","1,400,131,599","1,073,513,561","1,043,682,073","848,823,705"
Gross Profit,"442,422,812","434,413,096","252,889,084","456,377,180","393,081,934","403,704,106","521,349,446","537,441,416","462,767,519","394,116,718","303,347,931","234,996,537","189,813,591"
Administrative Expenses,"150,668,678","135,252,097","136,106,248","119,972,475","103,908,093","103,015,226","95,153,037","82,867,912","84,567,766","66,738,991","60,990,983","49,699,971","40,779,924"
Selling & Distributive Expenses,"253,637,474","282,634,196","407,886,503","317,443,774","261,060,067","240,215,552","275,836,084","248,456,191","206,795,747","183,404,182","135,992,953","124,290,843","108,184,873"
Financial Charges,"74,272,355","78,300,349","49,244,154","42,187,491","42,919,936","48,485,951","38,590,614","17,557,660","22,964,482","38,360,468","37,612,526","53,487,027","32,323,268"
Other Income,"12,162,020","15,592,075","25,480,033","13,464,784","19,067,139","16,866,190","17,104,796","12,534,263","16,023,676","10,906,983","7,513,001","12,962,644","6,123,349"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"3,262,518","5,341,413","2,550,610","1,350,154","2,167,460","2,998,690","9,397,863","14,221,178","12,104,042","8,373,794","7,056,707","1,947,763","1,535,470"
EBITDA,"90,321,204","74,858,616","-219,664,841","82,603,686","109,994,888","136,310,138","208,146,234","241,965,568","210,578,330","177,647,620","136,363,862","102,231,068","71,938,781"
EBIT,"47,016,162","26,777,465","-268,174,244","31,075,561","45,013,453","74,340,828","158,067,258","204,430,398","175,323,640","146,506,734","106,820,289","72,020,604","45,436,673"
EBT,"-27,256,193","-51,522,884","-317,418,398","-11,111,930","2,093,517","25,854,877","119,476,644","186,872,738","152,359,158","108,146,266","69,207,763","18,533,577","13,113,405"
Tax,"28,189,242","28,482,629","-24,799,334","19,771,650","14,201,881","-1,215,033","12,012,022","54,532,742","44,009,003","34,721,057","22,739,889","4,481,935","4,775,865"
PAT,"-55,445,435","-80,005,513","-292,619,064","-30,883,580","-12,108,364","27,069,910","107,464,622","132,339,996","108,350,155","73,425,209","46,467,874","14,051,642","8,337,540"
EPS,-7.04,-10.16,-37.16,-3.92,-1.54,3.44,13.65,21.01,21.5,14.57,9.22,2.79,1.65
