Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,72.73,36.64,35.70,34.89,48.05,43.38,71.73,60.45
Plow Back,100.00,100.00,100.00,100.00,100.00,27.27,63.36,64.30,65.11,51.95,56.62,28.27,39.55
Return on Equity,-74.61,-63.27,-139.81,-6.16,-2.24,4.73,18.56,25.11,25.05,20.43,15.17,5.21,3.20
Return on Assets,-4.02,-5.96,-19.60,-1.97,-0.86,1.98,7.67,14.30,13.31,9.61,7.08,1.93,1.16
Book Value per Share,9.44,16.06,26.58,63.68,68.69,72.71,73.51,83.67,85.83,71.33,60.76,53.54,51.75
Earning Per Share,-7.04,-10.16,-37.16,-3.92,-1.54,3.44,13.65,21.01,21.50,14.57,9.22,2.79,1.65
Net Working Capital to Total Asseets,-0.29,-0.28,-0.25,-0.03,0.01,0.09,0.13,0.25,0.18,0.14,0.11,-0.01,-0.02
Current Ratio,0.65,0.65,0.68,0.96,1.01,1.24,1.36,1.81,1.52,1.33,1.25,0.98,0.97
Acid Test,0.34,0.35,0.26,0.47,0.46,0.60,0.54,0.62,0.29,0.34,0.36,0.31,0.22
Times Interest Earned,0.63,0.34,-5.45,0.74,1.05,1.53,4.10,11.64,7.63,3.82,2.84,1.35,1.41
Total Debt Ratio,0.95,0.91,0.86,0.68,0.62,0.58,0.59,0.43,0.47,0.53,0.53,0.63,0.64
Debt To Equity,17.58,9.63,6.13,2.12,1.62,1.39,1.42,0.76,0.88,1.13,1.14,1.70,1.77
Return on Capital Employed,0.23,0.10,-0.82,0.05,0.07,0.09,0.18,0.32,0.33,0.33,0.28,0.22,0.14
Average Collection Period,23.99,24.41,14.29,40.07,25.98,23.66,18.13,9.90,11.59,12.87,10.79,16.75,13.73
Days sales Inventory,81.47,77.73,132.10,112.08,114.44,96.75,109.01,80.80,91.14,83.78,82.74,95.53,129.86
Total Assets Turnover,1.53,1.48,1.09,1.21,1.19,1.24,1.39,2.25,2.31,2.35,2.10,1.76,1.44
Gross Profit Margin,20.94,21.86,15.53,24.13,23.41,23.80,26.80,25.79,24.56,21.97,22.03,18.38,18.27
Net Profit Margin,-2.63,-4.03,-17.97,-1.63,-0.72,1.60,5.53,6.35,5.75,4.09,3.38,1.10,0.80
