Year,2009,2008,2007
Payout,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00
Return on Equity,-5.34,-0.48,-0.50
Return on Assets,-1.73,-0.19,-0.21
Book Value per Share,39.67,41.80,42.01
Earning Per Share,-2.12,-0.20,-0.21
Net Working Capital to Total Asseets,-0.01,0.02,0.03
Current Ratio,0.96,1.07,1.17
Acid Test,0.72,0.69,0.73
Times Interest Earned,0.45,1.04,1.07
Total Debt Ratio,0.68,0.61,0.57
Debt To Equity,2.09,1.57,1.35
Return on Capital Employed,0.02,0.01,0.00
Average Collection Period,100.04,92.84,70.38
Days sales Inventory,84.93,74.25,57.09
Total Assets Turnover,0.38,0.42,0.46
Gross Profit Margin,7.21,3.16,3.53
Net Profit Margin,-4.55,-0.44,-0.46
