Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"683,856,000","731,386,000","727,411,000","724,847,000","673,264,000","695,381,000","693,724,000","652,487,000","584,186,000","590,653,000","567,235,000","509,953,000","478,174,000"
Investments,"2,295,434,000","1,639,587,000","8,232,644,000","7,458,183,000","1,452,953,000","1,325,454,000","701,458,000","1,161,698,000","3,005,755,000","3,518,911,000","4,678,211,000","1,733,546,000","3,420,398,000"
Cash in Hand and Bank,"1,719,462,000","851,988,000","520,140,000","2,061,003,000","2,562,252,000","1,082,170,000","1,118,174,000","2,087,580,000","654,806,000","393,502,000","1,109,055,000","995,373,000","249,358,000"
Stores and Spares,"157,399,000","150,799,000","131,266,000","118,431,000","111,913,000","107,141,000","120,951,000","133,485,000","68,419,000","131,559,000","110,599,000","77,244,000","78,292,000"
Stock in Trade,"3,857,166,000","3,148,589,000","4,157,062,000","3,646,581,000","2,545,484,000","2,429,982,000","2,433,690,000","2,601,698,000","2,986,120,000","2,580,293,000","2,475,904,000","2,077,022,000","1,636,153,000"
Trade Debts,"102,044,000","46,637,000","65,578,000","194,311,000","286,194,000","184,377,000","121,731,000","974,158,000","411,326,000","176,430,000","454,465,000","127,209,000","102,660,000"
Current Assets,"7,781,665,000","7,964,021,000","14,876,359,000","15,622,341,000","8,320,644,000","6,239,303,000","5,421,289,000","8,732,156,000","9,038,370,000","7,426,242,000","10,604,724,000","5,679,157,000","6,179,581,000"
Quick Assets,"3,767,100,000","4,664,633,000","10,588,031,000","11,857,329,000","5,663,247,000","3,702,180,000","2,866,648,000","5,996,973,000","5,983,831,000","4,714,390,000","8,018,221,000","3,524,891,000","4,465,136,000"
Total Assets,"10,804,612,000","10,574,184,000","16,571,365,000","17,130,609,000","9,651,322,000","7,709,225,000","7,018,100,000","10,125,402,000","10,289,220,000","8,584,984,000","11,765,894,000","6,782,800,000","7,267,796,000"
Interest Bearing Long Term Liability,"111,872,000",0,0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,"12,643,000","12,731,000","12,691,000","11,515,000","11,505,000","10,595,000","10,515,000","10,895,000","10,485,000","10,485,000","10,285,000","9,485,000","9,485,000"
Interest Bearing Short Term Liability,"30,650,000",0,0,0,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"2,848,238,000","5,271,385,000","10,410,009,000","11,255,169,000","5,311,109,000","2,886,662,000","2,423,155,000","5,270,079,000","5,043,311,000","3,851,692,000","7,485,841,000","3,126,823,000","3,927,877,000"
Trades Payables,"2,848,238,000","5,271,385,000","10,410,009,000","11,255,169,000","5,310,799,000","2,884,862,000","2,419,555,000","5,267,679,000","5,041,886,000","3,850,702,000","7,483,957,000","3,123,525,000","3,925,019,000"
Total Current Liabilities,"6,400,770,000","5,728,286,000","10,822,231,000","11,350,121,000","5,407,391,000","2,976,973,000","2,500,805,000","5,331,414,000","5,098,772,000","3,896,657,000","7,555,574,000","3,328,902,000","4,146,004,000"
Total Liabilities,"6,732,536,000","5,741,017,000","10,916,541,000","11,380,756,000","5,509,562,000","2,997,782,000","2,530,242,000","5,361,562,000","5,127,302,000","3,932,748,000","7,573,487,000","3,411,957,000","4,228,917,000"
Paid Up Capital,"498,292,000","442,926,000","442,926,000","442,926,000","442,926,000","442,926,000","442,926,000","402,660,000","366,055,000","366,055,000","292,844,000","234,275,000","187,420,000"
Reserves,"3,573,784,000","4,390,241,000","5,211,898,000","5,306,927,000","3,698,834,000","4,268,517,000","4,044,932,000","4,361,180,000","4,795,863,000","4,286,181,000","3,899,563,000","3,136,568,000","2,851,459,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"4,072,076,000","4,833,167,000","5,654,824,000","5,749,853,000","4,141,760,000","4,711,443,000","4,487,858,000","4,763,840,000","5,161,918,000","4,652,236,000","4,192,407,000","3,370,843,000","3,038,879,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"49,829,200","44,292,600","44,292,600","44,292,544","44,293,000","44,293,000","44,293,000","40,267,000","36,606,000","36,605,408","29,284,326","23,427,461","18,741,969"
