Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"22,942,275,000","31,144,057,000","38,517,147,000","30,013,921,000","16,913,832,000","22,937,917,000","16,589,996,000","22,698,651,000","20,133,130,000","24,863,264,000","22,199,909,000","15,910,619,000","11,174,014,000"
COGS,"18,696,679,000","25,197,690,000","30,082,372,000","22,916,592,000","13,577,972,000","18,541,448,000","13,613,305,000","18,688,384,000","16,699,313,000","20,431,301,000","18,365,734,000","13,501,499,000","9,701,298,000"
Gross Profit,"4,245,596,000","5,946,367,000","8,434,775,000","7,097,329,000","3,335,860,000","4,396,469,000","2,976,691,000","4,010,267,000","3,433,817,000","4,431,963,000","3,834,175,000","2,409,120,000","1,472,716,000"
Administrative Expenses,"448,178,000","446,327,000","492,280,000","471,550,000","425,327,000","419,320,000","366,191,000","340,081,000","310,629,000","306,877,000","292,340,000","242,788,000","210,120,000"
Selling & Distributive Expenses,"567,838,000","579,004,000","629,779,000","536,522,000","350,155,000","515,007,000","487,292,000","494,367,000","483,940,000","540,461,000","398,351,000","410,596,000","361,495,000"
Financial Charges,"217,836,000","42,044,000","2,490,000","2,181,000","15,300,000","9,360,000","79,208,000","64,554,000","6,408,000","9,562,000","9,498,000","39,824,000","20,996,000"
Other Income,"253,694,000","800,474,000","1,046,461,000","610,091,000","272,249,000","404,157,000","299,483,000","301,383,000","472,618,000","679,561,000","450,555,000","198,950,000","321,608,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"295,803,000","596,605,000","576,819,000","454,934,000","196,521,000","264,550,000","160,003,000","239,676,000","230,113,000","340,340,000","247,920,000","162,530,000","81,574,000"
EBITDA,"3,274,055,000","5,209,202,000","7,866,994,000","6,317,850,000","2,705,721,000","3,674,713,000","2,324,044,000","3,298,990,000","2,946,366,000","3,992,356,000","3,403,689,000","1,842,596,000","1,175,258,000"
EBIT,"3,187,471,000","5,124,905,000","7,782,358,000","6,244,414,000","2,636,106,000","3,601,749,000","2,262,688,000","3,237,526,000","2,881,753,000","3,923,846,000","3,346,119,000","1,792,156,000","1,141,135,000"
EBT,"2,969,635,000","5,082,861,000","7,779,868,000","6,242,233,000","2,620,806,000","3,592,389,000","2,183,480,000","3,172,972,000","2,875,345,000","3,914,284,000","3,336,621,000","1,752,332,000","1,120,139,000"
Tax,"819,087,000","1,444,816,000","2,445,506,000","1,984,700,000","870,508,000","1,209,968,000","701,616,000","1,034,326,000","897,727,000","1,243,548,000","1,052,123,000","537,212,000","309,681,000"
PAT,"2,150,548,000","3,638,045,000","5,334,362,000","4,257,533,000","1,750,298,000","2,382,421,000","1,481,864,000","2,138,646,000","1,977,618,000","2,670,736,000","2,284,498,000","1,215,120,000","810,458,000"
EPS,43.16,82.14,120.43,96.12,39.52,53.79,33.46,53.11,49.11,72.96,78.01,51.87,34.59
