Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,115.85,103.49,99.64,98.83,126.53,97.61,119.56,98.42,120.31,65.10,83.32,86.76,75.16
Plow Back,-15.85,-3.49,0.36,1.17,-26.53,2.39,-19.56,1.58,-20.31,34.90,16.68,13.24,24.84
Return on Equity,52.81,75.27,94.33,74.05,42.26,50.57,33.02,44.89,38.31,57.41,54.49,36.05,26.67
Return on Assets,19.90,34.40,32.19,24.85,18.14,30.90,21.11,21.12,19.22,31.11,19.42,17.91,11.15
Book Value per Share,81.72,109.12,127.67,129.82,93.51,106.37,101.32,118.31,141.01,127.09,143.16,143.88,162.14
Earning Per Share,43.16,82.14,120.43,96.12,39.52,53.79,33.46,53.11,49.11,72.96,78.01,51.87,34.59
Net Working Capital to Total Asseets,0.13,0.21,0.24,0.25,0.30,0.42,0.42,0.34,0.38,0.41,0.26,0.35,0.28
Current Ratio,1.22,1.39,1.37,1.38,1.54,2.10,2.17,1.64,1.77,1.91,1.40,1.71,1.49
Acid Test,0.59,0.81,0.98,1.04,1.05,1.24,1.15,1.12,1.17,1.21,1.06,1.06,1.08
Times Interest Earned,14.63,121.89,3125.44,2863.10,172.29,384.80,28.57,50.15,449.71,410.36,352.30,45.00,54.35
Total Debt Ratio,0.62,0.54,0.66,0.66,0.57,0.39,0.36,0.53,0.50,0.46,0.64,0.50,0.58
Debt To Equity,1.65,1.19,1.93,1.98,1.33,0.64,0.56,1.13,0.99,0.85,1.81,1.01,1.39
Return on Capital Employed,0.72,1.06,1.35,1.08,0.62,0.76,0.50,0.68,0.56,0.84,0.79,0.52,0.37
Average Collection Period,1.62,0.55,0.62,2.36,6.18,2.93,2.68,15.66,7.46,2.59,7.47,2.92,3.35
Days sales Inventory,78.37,47.79,52.03,59.97,71.44,49.95,68.50,53.42,66.76,48.45,51.40,58.24,64.50
Total Assets Turnover,2.12,2.95,2.32,1.75,1.75,2.98,2.36,2.24,1.96,2.90,1.89,2.35,1.54
Gross Profit Margin,18.51,19.09,21.90,23.65,19.72,19.17,17.94,17.67,17.06,17.82,17.27,15.14,13.18
Net Profit Margin,9.37,11.68,13.85,14.19,10.35,10.39,8.93,9.42,9.82,10.74,10.29,7.64,7.25
