Year,2020,2019,2018,2017,2016,2015,2014
Fixed Assets,"9,918,014,133","8,584,311,799","6,304,748,282","4,250,865,732","3,908,262,437","3,285,942,164","2,865,374,803"
Investments,0,0,0,"305,663,782","108,492,583","524,620,436",0
Cash in Hand and Bank,"2,376,790,050","3,201,749,851","1,251,171,472","2,033,228,213","576,057,937","450,323,976","117,345,747"
Stores and Spares,"1,388,073,115","969,360,230","597,197,788","462,744,037","298,304,684","241,284,628","189,241,050"
Stock in Trade,"6,732,150,520","4,650,971,072","5,319,720,401","5,381,802,193","4,220,728,921","4,812,364,304","2,683,315,636"
Trade Debts,"2,182,004,268","3,304,003,346","1,263,279,786","1,347,038,735","939,886,798","473,242,896","321,049,463"
Current Assets,"15,640,301,696","14,013,181,270","11,130,324,119","11,748,962,540","7,851,863,242","8,163,677,374","4,189,338,576"
Quick Assets,"7,520,078,061","8,392,849,968","5,213,405,930","5,904,416,310","3,332,829,637","3,110,028,442","1,316,781,890"
Total Assets,"25,606,107,478","22,641,009,135","17,474,756,520","16,023,726,703","11,780,293,292","11,469,629,471","7,073,721,227"
Interest Bearing Long Term Liability,"2,644,088,758","2,808,581,748","829,000,000",0,"973,844,194","950,936,943","1,612,401,800"
Non Interest Bearing Long Term Liability,0,0,"300,000,000",0,0,0,0
Interest Bearing Short Term Liability,"12,401,101,287","9,702,824,832","7,540,375,822","6,685,093,461","3,571,258,776","2,185,824,615","2,991,511,650"
* Non Interest Bearing Short Term Liability,"1,601,661,257","1,647,331,857","564,788,369","2,058,482,418","2,290,378,631","4,626,102,323","626,813,504"
Trades Payables,"1,191,426,866","496,003,486","463,465,446","1,991,935,548","2,253,821,055","4,582,879,886","586,300,571"
Total Current Liabilities,"14,009,074,266","11,355,818,606","8,408,467,266","8,743,575,879","5,861,637,407","6,811,926,938","3,618,325,154"
Total Liabilities,"17,448,533,902","15,137,075,324","10,008,423,765","9,386,628,416","7,544,863,713","7,828,085,073","5,270,695,598"
Paid Up Capital,"2,515,996,500","2,515,996,500","2,515,996,500","2,515,996,500","1,257,998,250","1,093,911,530","820,411,530"
Reserves,"5,641,577,076","4,987,937,311","4,950,336,255","4,121,101,787","2,977,431,329","2,547,632,868","982,614,099"
Preferred Equity,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0
Shareholder Equity,"8,157,573,576","7,503,933,811","7,466,332,755","6,637,098,287","4,235,429,579","3,641,544,398","1,803,025,629"
Paid Up Value,10,10,10,10,10,10,10
Number of Shares,"251,599,650","251,599,650","251,599,650","251,599,650","125,799,825","109,391,153","82,041,153"
