Year,2020,2019,2018,2017,2016,2015,2014
Payout,0.00,21.99,42.90,66.03,42.24,7.58,0.00
Plow Back,100.00,78.01,57.10,33.97,57.76,92.42,100.00
Return on Equity,7.27,18.30,17.28,14.93,21.09,19.81,21.68
Return on Assets,2.32,6.06,7.38,6.18,7.58,6.29,5.53
Book Value per Share,32.42,29.82,29.68,26.38,33.67,33.29,21.98
Earning Per Share,2.36,5.46,5.13,4.21,7.10,8.12,4.76
Net Working Capital to Total Asseets,0.06,0.12,0.16,0.19,0.17,0.12,0.08
Current Ratio,1.12,1.23,1.32,1.34,1.34,1.20,1.16
Acid Test,0.54,0.74,0.62,0.68,0.57,0.46,0.36
Times Interest Earned,1.37,3.21,3.90,5.76,4.04,3.07,2.83
Total Debt Ratio,0.68,0.67,0.57,0.59,0.64,0.68,0.75
Debt To Equity,2.14,2.02,1.34,1.41,1.78,2.15,2.92
Return on Capital Employed,0.18,0.22,0.24,0.20,0.29,0.23,0.18
Average Collection Period,29.17,39.12,20.75,26.15,18.07,14.11,19.62
Days sales Inventory,120.06,74.22,111.14,126.52,97.46,168.34,199.91
Total Assets Turnover,1.07,1.36,1.27,1.17,1.61,1.07,0.84
Gross Profit Margin,9.59,10.34,12.57,10.33,10.85,10.49,12.19
Net Profit Margin,2.17,4.45,5.80,5.27,4.71,5.89,6.54
