Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"8,996,909,000","9,983,292,000","8,861,869,000","7,139,601,000","6,657,314,000","6,029,292,000","5,163,496,000","4,334,850,000","3,690,762,000","3,349,788,000","2,578,533,000","2,217,358,000"
COGS,"6,695,444,000","7,236,021,000","5,992,619,000","4,972,774,000","4,413,950,000","3,887,109,000","3,340,430,000","2,861,207,000","2,496,038,000","2,216,880,000","1,777,770,000","1,595,963,000"
Gross Profit,"2,301,465,000","2,747,271,000","2,869,250,000","2,166,827,000","2,243,364,000","2,142,183,000","1,823,066,000","1,473,643,000","1,194,724,000","1,132,908,000","800,763,000","621,395,000"
Administrative Expenses,"507,140,000","396,642,000","425,792,000","336,215,000","265,198,000","240,390,000","196,805,000","176,065,000","157,801,000","130,892,000","119,877,000","107,527,000"
Selling & Distributive Expenses,"870,114,000","939,381,000","756,711,000","595,279,000","522,096,000","424,442,000","357,971,000","287,772,000","304,957,000","247,735,000","177,976,000","159,907,000"
Financial Charges,"28,064,000","17,053,000","20,134,000","16,690,000","2,023,000","1,967,000","1,898,000","2,916,000","2,133,000","4,350,000","2,507,000","5,350,000"
Other Income,"417,960,000","385,764,000","282,467,000","226,929,000","220,748,000","263,997,000","234,943,000","134,286,000","128,390,000","90,781,000","61,839,000","18,554,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"276,135,000","117,133,000","121,212,000","94,629,000","108,100,000","109,412,000","97,732,000","87,111,000","55,414,000","56,026,000","37,661,000","26,311,000"
EBITDA,"1,488,050,000","2,034,876,000","2,110,524,000","1,651,764,000","1,810,685,000","1,791,423,000","1,558,897,000","1,219,814,000","970,644,000","931,811,000","652,298,000","433,378,000"
EBIT,"1,066,036,000","1,679,879,000","1,848,002,000","1,367,633,000","1,568,718,000","1,631,936,000","1,405,501,000","1,056,981,000","804,942,000","789,036,000","527,088,000","346,204,000"
EBT,"1,037,972,000","1,662,826,000","1,827,868,000","1,350,943,000","1,566,695,000","1,629,969,000","1,403,603,000","1,054,065,000","802,809,000","784,686,000","524,581,000","340,854,000"
Tax,"356,244,000","439,888,000","531,507,000","430,136,000","415,884,000","633,885,000","440,780,000","336,027,000","277,770,000","264,765,000","209,252,000","125,022,000"
PAT,"681,728,000","1,222,938,000","1,296,361,000","920,807,000","1,150,811,000","996,084,000","962,823,000","718,038,000","525,039,000","519,921,000","315,329,000","215,832,000"
EPS,24.64,44.21,56.23,39.94,49.92,43.21,41.77,34.26,27.56,27.29,21.85,14.95
