Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"4,837,771,000","4,576,755,000","4,150,606,000","3,049,019,000","1,997,039,000","1,518,286,000","1,239,996,000","1,048,957,000","947,057,000","774,356,000","794,771,000","614,004,000","635,325,000"
Investments,"61,719,000","31,719,000","31,719,000","31,719,000","31,719,000","420,964,000","493,304,000","359,627,000","260,132,000",0,0,0,0
Cash in Hand and Bank,"586,827,000","400,298,000","229,728,000","90,288,000","56,979,000","37,041,000","78,418,000","154,583,000","44,057,000","14,225,000","14,101,000","15,205,000","13,496,000"
Stores and Spares,"139,284,000","86,725,000","41,880,000","10,880,000","6,605,000","5,897,000","5,534,000","5,185,000","3,936,000","5,213,000","5,360,000","5,432,000","7,499,000"
Stock in Trade,"4,043,708,000","3,955,698,000","3,072,291,000","3,008,831,000","3,250,374,000","2,254,723,000","2,226,562,000","1,912,425,000","1,557,538,000","1,732,410,000","1,502,232,000","846,977,000","755,259,000"
Trade Debts,"1,702,404,000","901,348,000","889,385,000","1,273,826,000","1,000,468,000","1,150,666,000","796,624,000","652,142,000","288,994,000","287,742,000","253,050,000","274,556,000","259,091,000"
Current Assets,"6,681,263,000","5,630,313,000","4,499,479,000","4,718,695,000","4,454,221,000","3,931,164,000","3,652,481,000","3,139,234,000","2,202,427,000","2,067,047,000","1,849,392,000","1,256,941,000","1,104,692,000"
Quick Assets,"2,498,271,000","1,587,890,000","1,385,308,000","1,698,984,000","1,197,242,000","1,670,544,000","1,420,385,000","1,221,624,000","640,953,000","329,424,000","341,800,000","404,532,000","341,934,000"
Total Assets,"11,672,714,000","10,358,616,000","8,807,929,000","7,918,609,000","6,575,253,000","5,555,026,000","4,982,449,000","4,254,692,000","3,159,769,000","2,854,741,000","2,674,360,000","1,911,776,000","1,746,655,000"
Interest Bearing Long Term Liability,"849,235,000","417,972,000",0,"140,865,000",0,0,0,0,0,"169,750,000","22,260,000","73,700,000","126,262,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"774,727,000","1,970,776,000","2,341,872,000","1,549,528,000","1,311,326,000","384,094,000","953,789,000","950,968,000","508,301,000","774,533,000","1,240,007,000","538,046,000","591,682,000"
* Non Interest Bearing Short Term Liability,"3,670,735,000","2,804,791,000","2,345,552,000","2,384,225,000","1,969,409,000","1,675,203,000","1,383,751,000","1,355,097,000","1,024,647,000","855,444,000","558,382,000","478,390,000","386,751,000"
Trades Payables,"3,657,293,000","2,776,167,000","2,330,786,000","2,374,605,000","1,960,435,000","1,672,683,000","1,372,410,000","1,331,561,000","1,012,656,000","816,029,000","530,063,000","460,626,000","369,565,000"
Total Current Liabilities,"5,528,781,000","5,326,096,000","4,990,260,000","4,449,639,000","3,996,913,000","2,685,229,000","2,629,876,000","2,445,658,000","1,649,928,000","1,678,278,000","1,826,827,000","1,115,911,000","1,033,710,000"
Total Liabilities,"6,749,057,000","6,041,287,000","5,149,636,000","4,738,920,000","4,091,481,000","2,798,138,000","2,774,531,000","2,572,667,000","1,757,289,000","1,931,930,000","1,932,415,000","1,256,390,000","1,230,730,000"
Paid Up Capital,"745,969,000","621,641,000","518,034,000","518,034,000","518,034,000","518,034,000","518,034,000","414,427,000","414,427,000","414,427,000","414,427,000","331,542,000","55,257,000"
Reserves,"4,177,688,000","3,695,688,000","3,140,259,000","2,661,655,000","1,965,738,000","2,238,854,000","1,689,884,000","1,267,598,000","988,053,000","508,384,000","327,518,000","323,844,000","460,668,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"4,923,657,000","4,317,329,000","3,658,293,000","3,179,689,000","2,483,772,000","2,756,888,000","2,207,918,000","1,682,025,000","1,402,480,000","922,811,000","741,945,000","655,386,000","515,925,000"
Paid Up Value,5,5,5,5,5,5,10,10,10,10,10,10,10
Number of Shares,"149,193,800","124,328,200","103,606,800","103,606,858","103,606,858","103,606,858","51,803,429","41,442,743","41,442,743","41,442,743","41,442,743","33,154,194","5,525,700"
