Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"19,258,717,000","16,602,206,000","16,178,301,000","14,801,551,000","13,183,185,000","11,604,290,000","9,725,258,000","8,545,966,000","7,168,603,000","5,520,780,000","4,489,946,000","3,758,706,000","3,061,746,000"
COGS,"13,150,298,000","11,283,038,000","10,614,639,000","9,910,969,000","8,937,467,000","7,541,804,000","6,316,132,000","5,588,508,000","4,837,315,000","3,946,799,000","3,163,199,000","2,632,255,000","2,075,969,000"
Gross Profit,"6,108,419,000","5,319,168,000","5,563,662,000","4,890,582,000","4,245,718,000","4,062,486,000","3,409,126,000","2,957,458,000","2,331,288,000","1,573,981,000","1,326,747,000","1,126,451,000","985,777,000"
Administrative Expenses,"1,086,890,000","1,005,904,000","767,127,000","515,421,000","505,866,000","458,844,000","355,675,000","264,272,000","203,608,000","179,724,000","164,303,000","152,110,000","129,868,000"
Selling & Distributive Expenses,"3,381,529,000","2,922,212,000","3,468,766,000","2,974,259,000","2,518,730,000","2,125,366,000","1,921,722,000","1,624,168,000","1,187,150,000","886,106,000","909,818,000","665,664,000","570,218,000"
Financial Charges,"163,887,000","157,070,000","108,388,000","68,567,000","67,338,000","37,269,000","87,513,000","74,832,000","71,042,000","125,696,000","99,364,000","86,841,000","56,238,000"
Other Income,"218,427,000","254,662,000","53,920,000","81,056,000","55,850,000","111,965,000","71,148,000","66,955,000","42,792,000","12,063,000","23,214,000","17,006,000","22,309,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"106,416,000","126,036,000","210,531,000","100,373,000","97,681,000","120,719,000","83,033,000","82,940,000","76,031,000","32,767,000","17,295,000","18,140,000","17,815,000"
EBITDA,"2,277,957,000","1,976,172,000","1,531,755,000","1,636,343,000","1,397,544,000","1,664,543,000","1,273,333,000","1,168,091,000","1,005,079,000","586,405,000","352,440,000","391,036,000","346,964,000"
EBIT,"1,752,011,000","1,519,678,000","1,171,158,000","1,381,585,000","1,179,291,000","1,469,522,000","1,119,844,000","1,053,033,000","907,291,000","487,447,000","258,545,000","307,543,000","290,185,000"
EBT,"1,588,124,000","1,362,608,000","1,062,770,000","1,313,018,000","1,111,953,000","1,432,253,000","1,032,331,000","978,201,000","836,249,000","361,751,000","159,181,000","220,702,000","233,947,000"
Tax,"483,622,000","271,746,000","116,164,000","328,121,000","338,277,000","438,690,000","323,839,000","304,950,000","252,973,000","131,154,000","72,622,000","81,241,000","77,401,000"
PAT,"1,104,502,000","1,090,862,000","946,606,000","984,897,000","773,676,000","993,563,000","708,492,000","673,251,000","583,276,000","230,597,000","86,559,000","139,461,000","156,546,000"
EPS,7.4,8.77,9.14,9.51,7.47,9.59,13.68,16.25,14.07,5.56,2.09,4.21,4.72
