Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"39,337,640,505","35,560,396,444","29,815,994,272","25,799,121,553","23,780,454,796","22,799,758,141","21,213,244,304","18,616,942,561","20,322,001,699","13,343,539,563","9,964,545,471","9,138,298,052"
COGS,"34,450,127,944","31,289,052,624","26,916,200,873","23,343,603,779","21,823,679,749","21,419,144,718","17,617,677,400","16,540,145,218","16,913,477,416","10,731,691,909","8,473,362,242","8,097,418,309"
Gross Profit,"4,887,512,561","4,271,343,820","2,899,793,399","2,455,517,774","1,956,775,047","1,380,613,423","3,595,566,904","2,076,797,343","3,408,524,283","2,611,847,654","1,491,183,229","1,040,879,743"
Administrative Expenses,"278,123,593","222,242,176","235,449,218","168,988,341","179,111,133","154,783,508","149,342,527","135,995,989","126,091,916","111,713,760","105,656,507","83,975,591"
Selling & Distributive Expenses,"944,021,613","908,398,202","713,514,292","738,168,261","679,819,787","665,488,948","535,142,990","499,834,017","599,586,283","438,360,713","291,799,017","224,932,148"
Financial Charges,"2,177,576,149","1,383,364,854","1,094,723,154","1,029,629,378","1,353,885,574","1,375,291,820","1,243,261,666","1,353,445,371","1,482,399,433","1,101,054,097","1,081,536,433","705,821,520"
Other Income,"2,454,439,930","1,131,881,730","1,122,401,854","1,190,718,912","1,480,525,662","1,815,279,349","1,000,393,903","856,620,344","603,629,611","186,371,206","172,619,698","56,518,520"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"273,865,080","129,114,178","199,858,212","96,432,497","81,116,719","72,725,888","137,292,220","50,169,183","141,287,624","81,833,501","16,467,327","6,489,259"
EBITDA,"6,773,572,012","5,147,240,029","3,697,888,427","3,434,477,581","3,259,264,615","2,916,846,352","4,298,867,783","2,798,176,434","3,683,344,798","2,684,174,029","1,787,435,967","1,408,331,621"
EBIT,"5,845,942,205","4,143,470,994","2,873,373,531","2,642,647,587","2,497,253,070","2,302,894,428","3,774,183,070","2,247,418,498","3,145,188,071","2,166,310,886","1,249,880,076","782,001,265"
EBT,"3,668,366,056","2,760,106,140","1,778,650,377","1,613,018,209","1,143,367,496","927,602,608","2,530,921,404","893,973,127","1,662,788,638","1,065,256,789","168,343,643","76,179,745"
Tax,"500,774,516","397,022,293","157,318,525","284,243,516","342,947,481","166,306,073","254,760,294","194,642,398","204,208,921","133,782,914","65,000,000","58,000,000"
PAT,"3,167,591,540","2,363,083,847","1,621,331,852","1,328,774,693","800,420,015","761,296,535","2,276,161,110","699,330,729","1,458,579,717","931,473,875","103,343,643","18,179,745"
EPS,13.19,9.84,6.75,5.59,4,3.8,12.51,4.28,9.07,7.89,1.19,0.22
