Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,30.34,40.66,40.74,45.20,37.52,26.30,15.99,47.31,22.23,25.53,0.00,0.00
Plow Back,69.67,59.34,59.26,54.80,62.48,73.70,84.01,52.69,77.77,74.47,100.00,100.00
Return on Equity,20.65,17.24,13.50,12.09,8.03,9.04,28.38,11.51,25.72,21.35,3.84,0.70
Return on Assets,7.28,6.00,4.68,4.60,2.97,2.93,10.38,3.95,8.99,6.54,0.86,0.17
Book Value per Share,63.85,57.07,49.99,45.74,49.80,42.05,44.07,36.72,34.99,27.52,32.51,34.58
Earning Per Share,13.19,9.84,6.75,5.59,4.00,3.80,12.51,4.28,9.07,7.89,1.19,0.22
Net Working Capital to Total Asseets,0.10,0.10,0.01,0.01,0.03,0.07,0.12,0.12,0.05,-0.08,-0.09,-0.12
Current Ratio,1.18,1.19,1.02,1.01,1.05,1.14,1.28,1.28,1.12,0.85,0.81,0.77
Acid Test,0.51,0.65,0.52,0.53,0.58,0.53,0.64,0.68,0.43,0.34,0.37,0.28
Times Interest Earned,2.68,3.00,2.62,2.57,1.84,1.67,3.04,1.66,2.12,1.97,1.16,1.11
Total Debt Ratio,0.65,0.65,0.65,0.62,0.63,0.68,0.63,0.66,0.65,0.69,0.74,0.76
Debt To Equity,1.84,1.87,1.88,1.63,1.70,2.08,1.73,1.91,1.85,2.22,2.87,3.17
Return on Capital Employed,0.31,0.22,0.18,0.20,0.19,0.18,0.31,0.22,0.35,0.30,0.20,0.15
Average Collection Period,59.63,83.39,63.33,73.55,73.03,71.75,67.18,59.36,38.52,41.54,55.56,52.38
Days sales Inventory,174.54,129.88,125.17,119.44,111.51,132.62,128.64,100.05,107.07,121.67,108.42,124.17
Total Assets Turnover,0.90,0.90,0.86,0.89,0.88,0.88,0.97,1.05,1.25,0.94,0.83,0.84
Gross Profit Margin,12.43,12.01,9.73,9.52,8.23,6.05,16.95,11.15,16.77,19.57,14.96,11.39
Net Profit Margin,8.05,6.64,5.44,5.15,3.37,3.34,10.73,3.76,7.18,6.98,1.04,0.20
