Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,21.50,16.18,30.61,96.63,89.15,82.31,80.52,63.49,22.78,0.00,0.00
Plow Back,100.00,78.50,83.82,69.39,3.37,10.85,17.68,19.48,36.51,77.22,100.00,100.00
Return on Equity,24.28,23.79,27.85,32.64,37.80,41.86,41.16,37.66,33.74,32.94,-0.21,-0.09
Return on Assets,14.88,11.55,12.90,12.60,12.71,12.75,10.59,12.10,7.08,6.50,-0.03,-0.02
Book Value per Share,51.63,39.09,33.29,25.02,19.85,20.10,19.19,19.79,16.34,13.32,9.93,9.99
Earning Per Share,0.00,9.30,9.27,8.17,7.50,8.41,7.90,7.45,5.51,4.39,-0.02,-0.02
Net Working Capital to Total Asseets,0.29,0.12,0.59,0.12,0.09,0.13,0.13,0.19,0.11,0.08,0.04,-0.03
Current Ratio,1.81,1.25,2.43,1.30,1.29,1.41,1.36,2.23,1.32,1.32,1.26,0.04
Acid Test,1.76,1.13,2.25,1.14,1.11,1.17,1.22,1.92,1.24,1.17,1.12,0.04
Times Interest Earned,3.26,3.55,4.26,3.74,3.26,2.64,2.51,2.12,1.66,1.55,0.00,0.00
Total Debt Ratio,0.39,0.51,0.54,0.61,0.66,0.70,0.74,0.68,0.79,0.80,0.84,0.81
Debt To Equity,0.63,1.06,1.16,1.59,1.97,2.28,2.89,2.11,3.76,4.07,5.22,4.14
Return on Capital Employed,0.34,0.32,0.29,0.28,0.27,0.30,0.27,0.27,0.27,0.24,-0.00,-0.00
Average Collection Period,532.70,374.95,257.49,204.62,169.25,131.12,134.73,84.31,198.02,123.91,0.00,0.00
Days sales Inventory,36.24,60.15,60.63,45.62,45.81,38.33,21.67,19.89,17.69,21.13,0.00,0.00
Total Assets Turnover,0.42,0.51,0.63,0.68,0.64,0.93,1.01,1.11,0.76,0.82,0.00,0.00
Gross Profit Margin,51.88,33.79,27.96,26.75,30.27,22.70,17.86,20.14,24.04,22.61,0.00,0.00
Net Profit Margin,35.37,22.75,20.53,18.58,19.89,13.69,10.50,10.88,9.38,7.92,0.00,0.00
