Year,2019,2018,2017,2016,2015,2014,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"33,774,187,000","33,662,271,000","32,794,092,000","30,811,854,000","30,878,325,000","32,784,170,000","32,784,170,000","33,819,428,000","33,520,580,000","21,601,089,000","14,447,083,000","11,615,830,000","10,846,774,000"
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"318,753,000","745,694,000","1,333,984,000","353,167,000","253,267,000","226,143,000","226,143,000","720,065,000","760,831,000","702,025,000","505,516,000","315,770,000","419,327,000"
Stores and Spares,"2,376,057,000","1,951,900,000","1,769,987,000","1,308,329,000","1,262,789,000","1,208,547,000","1,208,547,000","1,273,538,000","8,025,653,000","1,278,416,000","1,050,804,000","868,984,000","804,647,000"
Stock in Trade,"18,876,441,000","19,711,784,000","15,358,288,000","11,207,230,000","9,474,681,000","9,763,987,000","9,763,987,000","7,925,132,000","491,842,000","7,064,170,000","4,602,019,000","3,895,038,000","2,488,573,000"
Trade Debts,"2,164,888,000","3,116,948,000","781,116,000","564,460,000","314,836,000","272,321,000","272,321,000","346,041,000","45,735,000","276,858,000","126,499,000","241,715,000","456,813,000"
Current Assets,"31,252,326,000","32,658,174,000","25,124,489,000","19,567,821,000","18,029,598,000","18,405,780,000","18,405,780,000","17,936,483,000","16,905,484,000","13,395,017,000","8,352,923,000","6,845,528,000","5,684,078,000"
Quick Assets,"9,999,828,000","10,994,490,000","7,996,214,000","7,052,262,000","7,292,128,000","7,433,246,000","7,433,246,000","8,737,813,000","8,387,989,000","5,052,431,000","2,700,100,000","2,081,506,000","2,390,858,000"
Total Assets,"65,273,408,000","66,641,242,000","58,345,619,000","50,781,770,000","49,267,464,000","51,730,695,000","51,730,695,000","52,289,521,000","50,872,717,000","35,179,859,000","22,952,232,000","18,586,980,000","16,684,176,000"
Interest Bearing Long Term Liability,"4,084,023,000","9,064,730,000","9,291,755,000","5,637,473,000","8,000,000,000","6,951,459,000","6,951,459,000","17,464,812,000","15,366,964,000","7,861,740,000","5,629,165,000","4,329,025,000","5,317,457,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,"220,957,000",0,0,0,0,0,0
Interest Bearing Short Term Liability,"26,753,882,000","16,888,126,000","12,476,237,000","6,358,277,000","6,509,398,000","13,046,718,000","13,046,718,000","8,188,431,000","9,879,060,000","9,166,823,000","4,982,379,000","4,184,179,000","2,278,329,000"
* Non Interest Bearing Short Term Liability,"26,420,577,000","32,214,316,000","26,378,792,000","24,969,487,000","1,758,775,300","14,509,565,000","14,509,565,000","9,812,558,000","9,939,912,000","7,621,632,000","4,824,193,000","3,898,951,000","3,028,242,000"
Trades Payables,"25,782,895,000","31,745,031,000","26,231,936,000","24,920,599,000","1,675,254,300","14,361,913,000","14,361,913,000","9,366,805,000","9,743,567,000","7,343,507,000","4,633,932,000","3,746,286,000","2,798,185,000"
Total Current Liabilities,"53,195,067,000","49,123,050,000","40,265,695,000","33,027,347,000","25,143,112,000","27,777,240,000","27,777,240,000","18,000,989,000","20,003,413,000","16,788,455,000","9,806,572,000","8,083,130,000","5,306,571,000"
Total Liabilities,"62,017,442,000","62,728,997,000","53,711,279,000","41,969,718,000","36,629,702,000","39,103,070,000","39,103,070,000","40,430,364,000","39,312,453,000","27,567,443,000","17,370,359,000","14,160,025,000","12,295,329,000"
Paid Up Capital,"453,496,000","453,496,000","453,496,000","453,496,000","453,496,000","453,496,000","453,496,000","453,496,000","453,496,000","453,496,000","453,496,000","453,496,000","453,496,000"
Reserves,"2,802,470,000","3,458,749,000","4,180,844,000","8,358,556,000","12,184,266,000","12,174,129,000","12,174,129,000","11,405,661,000","11,106,768,000","7,158,920,000","5,128,377,000","3,973,459,000","3,935,351,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"3,255,966,000","3,912,245,000","4,634,340,000","8,812,052,000","12,637,762,000","12,627,625,000","12,627,625,000","11,859,157,000","11,560,264,000","7,612,416,000","5,581,873,000","4,426,955,000","4,388,847,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"45,349,600","45,349,600","45,349,600","45,349,584","45,349,584","45,349,584","45,349,584","45,349,584","45,349,584","45,349,584","45,349,584","45,349,584","45,349,584"
