Year,2019,2018,2017,2016,2015,2014,2014,2013,2012,2011,2010,2009,2008
Sales,"115,962,473,000","124,614,785,000","122,214,698,000","112,392,654,000","102,985,916,000","96,457,743,000","96,457,743,000","86,226,869,000","79,087,696,000","64,824,364,000","51,487,302,000","41,155,822,000","34,183,847,000"
COGS,"82,613,501,000","83,242,655,000","77,458,749,000","72,609,392,000","68,859,344,000","69,133,753,000","69,133,753,000","62,066,072,000","57,564,265,000","48,099,046,000","37,608,733,000","29,256,902,000","25,231,532,000"
Gross Profit,"33,348,972,000","41,372,130,000","44,755,949,000","39,783,262,000","34,126,572,000","27,323,990,000","27,323,990,000","24,160,797,000","21,523,431,000","16,725,318,000","13,878,569,000","11,898,920,000","8,952,315,000"
Administrative Expenses,"3,667,718,000","2,926,471,000","2,741,743,000","2,760,186,000","2,397,996,000","2,125,079,000","2,125,079,000","1,957,943,000","1,769,803,000","1,405,298,000","1,311,637,000","1,085,121,000","956,816,000"
Selling & Distributive Expenses,"14,656,501,000","18,470,241,000","18,406,725,000","17,875,408,000","15,411,236,000","11,085,448,000","11,085,448,000","10,731,584,000","8,787,508,000","6,862,113,000","5,709,078,000","5,238,488,000","3,890,352,000"
Financial Charges,"3,187,695,000","1,818,650,000","1,095,630,000","959,005,000","1,724,420,000","2,155,637,000","2,155,637,000","2,113,096,000","1,827,969,000","1,050,355,000","513,081,000","442,050,000","557,325,000"
Other Income,"268,790,000","255,308,000","313,857,000","394,753,000","137,742,000","523,892,000","523,892,000","194,565,000","160,142,000","159,545,000","170,491,000","144,145,000","61,800,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,390,138,000","1,512,112,000","1,837,203,000","1,563,496,000","2,210,540,000","1,472,550,000","1,472,550,000","1,439,777,000","1,320,319,000","1,064,233,000","819,084,000","1,091,149,000","1,382,138,000"
EBITDA,"17,916,561,000","22,247,379,000","25,466,753,000","21,482,824,000","17,672,144,000","16,401,569,000","16,401,569,000","13,218,107,000","11,942,357,000","9,171,489,000","7,488,804,000","5,884,000,000","3,921,368,000"
EBIT,"13,903,405,000","18,718,614,000","22,084,135,000","17,978,925,000","14,244,542,000","13,164,805,000","13,164,805,000","10,226,058,000","9,805,943,000","7,553,219,000","6,209,261,000","4,628,307,000","2,784,809,000"
EBT,"10,715,710,000","16,899,964,000","20,988,505,000","17,019,920,000","12,520,122,000","11,009,168,000","11,009,168,000","8,112,962,000","7,977,974,000","6,502,864,000","5,696,180,000","4,186,257,000","2,227,484,000"
Tax,"3,361,243,000","5,355,382,000","6,346,723,000","5,172,947,000","3,759,192,000","3,079,897,000","3,079,897,000","2,246,199,000","2,113,463,000","1,834,507,000","1,583,331,000","1,181,124,000","674,590,000"
PAT,"7,354,467,000","11,544,582,000","14,641,782,000","11,846,973,000","8,760,930,000","7,929,271,000","7,929,271,000","5,866,763,000","5,864,511,000","4,668,357,000","4,112,849,000","3,005,133,000","1,552,894,000"
EPS,162.17,254.57,322.86,261.23,193.18,174.85,174.85,129.37,129.32,102.94,90.69,66.27,34.24
