Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"1,542,792,000","1,679,165,000","1,759,889,000","1,898,191,000","2,203,006,000","2,412,894,000","2,672,924,000","1,894,191,000","1,361,923,000","1,240,533,000","662,257,000","580,995,000","537,541,000"
Investments,"239,827,000","308,567,000","308,567,000","218,873,000","32,455,000","15,188,000","15,188,000","15,188,000","15,188,000","15,188,000","15,188,000","15,188,000","15,188,000"
Cash in Hand and Bank,"2,081,859,000","1,951,746,000","2,123,337,000","874,942,000","108,473,000","447,595,000","339,858,000","305,571,000","130,255,000","193,858,000","145,046,000","227,992,000","127,933,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Debts,"2,200,933,000","2,531,603,000","1,340,024,000","669,272,000","1,198,056,000","448,668,000","317,226,000","965,741,000","821,213,000","906,166,000","859,403,000","623,499,000","432,861,000"
Current Assets,"6,374,023,000","5,807,256,000","5,053,592,000","3,462,681,000","2,173,136,000","1,468,193,000","1,017,718,000","2,285,125,000","2,046,844,000","1,635,267,000","1,806,808,000","1,448,651,000","1,481,691,000"
Quick Assets,"6,374,023,000","5,807,256,000","5,053,592,000","3,462,681,000","2,173,136,000","1,468,193,000","1,017,718,000","2,285,125,000","2,046,844,000","1,635,267,000","1,806,808,000","1,448,651,000","1,481,691,000"
Total Assets,"9,079,110,000","9,009,859,000","8,630,309,000","7,381,600,000","6,606,193,000","6,407,572,000","6,574,398,000","7,068,462,000","5,925,061,000","4,964,829,000","3,980,152,000","2,916,666,000","2,477,498,000"
Interest Bearing Long Term Liability,"187,424,000","55,404,000","31,115,000","19,397,000","37,064,000","20,730,000","256,551,000","192,672,000","201,037,000","146,983,000","70,566,000","111,691,000","18,092,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,"22,020,000","39,214,000"
Interest Bearing Short Term Liability,"1,483,106,000","1,099,947,000","1,025,499,000","1,135,557,000","553,557,000","449,337,000","267,327,000","276,889,000","272,684,000","254,468,000","249,288,000","226,118,000","214,759,000"
* Non Interest Bearing Short Term Liability,"193,651,000","491,754,000","503,417,000","384,855,000","402,833,000","415,556,000","523,694,000","398,956,000","455,287,000","517,790,000","312,579,000","161,432,000","195,407,000"
Trades Payables,"193,651,000","491,754,000","503,417,000","384,855,000","402,833,000","415,556,000","523,694,000","398,956,000","455,287,000","496,893,000","291,150,000","139,311,000","172,076,000"
Total Current Liabilities,"1,994,188,000","2,064,712,000","1,904,733,000","1,666,436,000","1,230,283,000","1,104,815,000","851,085,000","750,329,000","769,054,000","784,338,000","571,825,000","402,704,000","418,664,000"
Total Liabilities,"2,181,612,000","2,130,399,000","1,944,359,000","1,689,087,000","1,269,777,000","1,126,608,000","1,107,665,000","943,060,000","970,129,000","931,321,000","642,944,000","537,748,000","478,452,000"
Paid Up Capital,"898,369,000","897,229,000","897,029,000","896,359,000","891,544,000","890,464,000","889,699,000","785,717,000","779,102,000","779,102,000","779,102,000","779,102,000","597,375,000"
Reserves,"5,999,129,000","5,982,231,000","5,788,921,000","4,796,154,000","4,444,872,000","4,390,500,000","4,577,034,000","5,339,685,000","4,175,830,000","3,254,406,000","2,558,106,000","1,599,816,000","1,401,671,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"6,897,498,000","6,879,460,000","6,685,950,000","5,692,513,000","5,336,416,000","5,280,964,000","5,466,733,000","6,125,402,000","4,954,932,000","4,033,508,000","3,337,208,000","2,378,918,000","1,999,046,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"89,836,900","89,722,900","89,702,900","89,635,923","89,154,423","89,046,423","88,969,923","78,571,703","77,910,203","77,910,203","77,910,203","77,910,203","59,737,495"
