Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Sales,"17,172,579,881","14,850,121,491","12,154,312,383","7,369,139,953","5,011,268,584","3,663,499,323","3,331,794,080","3,002,335,145","2,677,604,626","2,431,135,925","1,742,804,413"
COGS,"14,626,318,244","12,820,522,822","10,541,804,264","6,304,069,597","4,039,193,383","3,102,622,031","2,818,865,839","2,499,182,281","2,330,080,723","2,119,039,395","1,562,063,478"
Gross Profit,"2,546,261,637","2,029,598,669","1,612,508,119","1,065,070,356","972,075,201","560,877,292","512,928,241","503,152,864","347,523,903","312,096,530","180,740,935"
Administrative Expenses,"228,360,624","193,802,828","167,528,649","115,698,790","102,295,839","72,252,354","70,783,975","52,411,633","44,089,373","49,762,067","41,652,841"
Selling & Distributive Expenses,"140,464,106","102,301,780","149,740,475","114,755,645","104,893,010","76,565,413","74,197,305","84,544,369","61,881,739","61,093,868","50,404,991"
Financial Charges,"601,538,267","359,497,488","204,254,459","135,427,376","90,519,682","106,330,524","80,566,752","96,854,212","114,363,699","96,959,415","51,709,997"
Other Income,"-114,364,394","-129,279,337","-71,923,129","51,929,629","-23,320,829","11,862,050","9,017,419","5,559,404","-5,784,449","718,847,337","6,911,621"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"112,421,691","86,064,035","131,944,187","50,300,107","47,610,703","23,322,981","37,113,381","42,369,230","8,478,266","10,080,678","30,426,326"
EBITDA,"2,319,429,724","1,803,662,630","1,339,504,652","1,002,814,611","832,291,941","932,347,622","454,968,919","408,574,863","299,151,185","978,500,970","132,879,495"
EBIT,"1,950,650,822","1,518,150,689","1,091,371,679","836,245,443","693,954,820","400,598,594","339,850,999","329,387,036","227,290,076","910,007,254","65,168,398"
EBT,"1,349,112,555","1,158,653,201","887,117,220","700,818,067","603,435,138","294,268,070","259,284,247","232,532,824","112,926,377","813,047,839","13,458,401"
Tax,"422,635,290","348,556,229","191,582,093","229,384,775","162,751,481","72,488,860","64,649,400","105,451,713","-118,564,719","26,087,814","8,889,597"
PAT,"926,477,265","810,096,972","695,535,127","471,433,292","440,683,657","221,779,210","194,634,847","127,081,111","231,491,096","786,960,025","4,568,804"
EPS,8.38,7.33,6.29,4.26,3.98,2,1.76,0.57,1.05,3.56,0.02
