Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Sales,"63,499,029,000","53,729,124,000","49,247,657,000","47,999,179,000","51,177,577,000","54,444,091,000","52,426,030,000","44,924,101,000","48,565,144,000","31,535,647,000","23,870,379,000","19,589,804,000","17,180,192,000"
COGS,"55,842,428,000","48,178,678,000","43,867,819,000","41,734,871,000","45,153,439,000","46,580,317,000","43,381,545,000","38,134,910,000","40,718,697,000","25,555,462,000","19,518,838,000","16,778,058,000","14,335,254,000"
Gross Profit,"7,656,601,000","5,550,446,000","5,379,838,000","6,264,308,000","6,024,138,000","7,863,774,000","9,044,485,000","6,789,191,000","7,846,447,000","5,980,185,000","4,351,541,000","2,811,746,000","2,844,938,000"
Administrative Expenses,"1,118,891,000","1,074,286,000","1,128,721,000","1,117,323,000","1,101,658,000","1,032,238,000","870,269,000","731,740,000","656,756,000","545,166,000","435,012,000","429,898,000","320,202,000"
Selling & Distributive Expenses,"2,769,744,000","2,438,118,000","2,367,862,000","2,137,894,000","2,426,295,000","2,554,627,000","2,529,455,000","2,555,327,000","2,190,496,000","1,714,598,000","1,315,630,000","1,009,856,000","928,778,000"
Financial Charges,"1,668,166,000","993,824,000","915,072,000","1,046,221,000","1,744,773,000","1,609,882,000","1,617,581,000","1,760,543,000","1,601,048,000","1,126,922,000","1,446,796,000","950,616,000","819,267,000"
Other Income,"5,158,380,000","4,102,639,000","4,259,666,000","4,079,054,000","4,004,655,000","3,653,041,000","2,739,102,000","2,683,685,000","2,444,985,000","981,650,000","599,006,000","747,679,000","671,275,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"361,132,000","189,730,000","207,507,000","316,886,000","366,142,000","344,516,000","409,429,000","343,699,000","431,220,000","289,080,000","191,608,000","110,781,000","91,758,000"
EBITDA,"11,211,441,000","8,395,775,000","8,235,549,000","8,937,616,000","8,260,046,000","9,125,677,000","9,334,689,000","16,815,175,000","8,186,974,000","5,518,864,000","4,208,276,000","8,174,813,000","3,158,873,000"
EBIT,"8,565,214,000","5,950,951,000","5,935,414,000","6,771,259,000","6,134,698,000","7,585,434,000","7,974,434,000","5,842,110,000","7,012,960,000","4,412,991,000","3,008,297,000","7,069,303,000","2,175,475,000"
EBT,"6,897,048,000","4,957,127,000","5,020,342,000","5,725,038,000","4,389,925,000","5,975,552,000","6,356,853,000","4,081,567,000","5,411,912,000","3,286,069,000","1,561,501,000","6,118,687,000","1,356,208,000"
Tax,"1,038,000,000","860,000,000","758,000,000","802,000,000","478,000,000","463,000,000","510,000,000","553,000,000","568,000,000","370,608,000","293,500,000","261,100,000","145,000,000"
PAT,"5,859,048,000","4,097,127,000","4,262,342,000","4,923,038,000","3,911,925,000","5,512,552,000","5,846,853,000","3,528,567,000","4,843,912,000","2,915,461,000","1,268,001,000","5,857,587,000","1,211,208,000"
EPS,16.66,11.65,12.12,14,11.13,15.68,16.63,10.04,13.78,10.5,6.81,36.86,7.58
