Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"125,612,646,000","160,906,197,000","136,984,940,000","107,447,444,000","93,788,378,000","148,456,509,000","207,403,258,000","179,184,415,000","174,797,075,000","148,558,492,000","110,186,374,000","109,578,364,000","129,385,816,000"
COGS,"136,730,486,000","165,355,337,000","133,172,931,000","97,647,936,000","82,745,292,000","141,610,755,000","204,343,524,000","174,118,575,000","170,074,583,000","138,551,416,000","103,853,566,000","104,304,898,000","118,705,060,000"
Gross Profit,"-11,117,840,000","-4,449,140,000","3,812,009,000","9,799,508,000","11,043,086,000","6,845,754,000","3,059,734,000","5,065,840,000","4,722,492,000","10,007,076,000","6,332,808,000","5,273,466,000","10,680,756,000"
Administrative Expenses,"867,167,000","831,564,000","863,194,000","841,192,000","752,538,000","649,030,000","525,036,000","508,039,000","464,104,000","420,995,000","373,775,000","371,655,000","376,170,000"
Selling & Distributive Expenses,"730,848,000","814,479,000","756,507,000","734,788,000","685,635,000","879,124,000","1,092,288,000","1,037,671,000","1,264,034,000","1,135,999,000","996,099,000","844,157,000","889,008,000"
Financial Charges,"2,513,245,000","5,285,749,000","1,765,615,000","182,526,000","275,527,000","852,694,000","852,319,000","870,547,000","1,342,860,000","150,468,000","695,757,000","2,394,388,000","1,331,669,000"
Other Income,"380,939,000","369,511,000","558,088,000","724,818,000","1,514,185,000","1,525,316,000","1,436,152,000","2,179,743,000","3,136,832,000","2,497,574,000","1,278,104,000","1,365,148,000","1,404,402,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"14,931,000","17,590,000","77,453,000","450,649,000","754,545,000","430,002,000","146,597,000","354,519,000","336,454,000","768,578,000","409,659,000","214,958,000","657,019,000"
EBITDA,"-8,764,193,000","-2,202,893,000","5,972,853,000","9,128,429,000","10,727,441,000","6,761,163,000","3,059,156,000","5,654,748,000","6,082,444,000","10,459,465,000","6,072,308,000","5,442,459,000","10,408,380,000"
EBIT,"-12,349,847,000","-5,743,262,000","2,672,943,000","8,497,697,000","10,364,553,000","6,412,914,000","2,731,965,000","5,345,354,000","5,794,732,000","10,179,078,000","5,831,379,000","5,207,844,000","10,162,961,000"
EBT,"-14,863,092,000","-11,029,011,000","907,328,000","8,315,171,000","10,089,026,000","5,560,220,000","1,879,646,000","4,474,807,000","4,451,872,000","10,028,610,000","5,135,622,000","2,813,456,000","8,831,292,000"
Tax,"-10,799,330,000","-2,336,584,000","-863,356,000","269,390,000","2,400,950,000","1,851,240,000","917,771,000","1,630,350,000","1,833,488,000","3,460,077,000","1,850,808,000","1,280,428,000","2,825,860,000"
PAT,"-4,063,762,000","-8,692,427,000","1,770,684,000","8,045,781,000","7,688,076,000","3,708,980,000","961,875,000","2,844,457,000","2,618,384,000","6,568,533,000","3,284,814,000","1,533,028,000","6,005,432,000"
EPS,-50.82,-108.7,22.14,100.61,96.14,46.38,12.03,35.57,32.74,82.14,41.08,19.17,75.1
