Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,45.16,22.36,20.80,21.56,0.00,42.19,45.83,30.45,48.71,65.20,26.63
Plow Back,100.00,100.00,54.84,77.64,79.20,78.44,100.00,57.81,54.17,69.55,51.29,34.80,73.37
Return on Equity,-13.62,-25.66,4.09,18.56,20.88,12.31,3.62,10.59,10.38,26.69,16.73,8.84,34.48
Return on Assets,-6.42,-11.41,2.69,13.11,14.33,7.72,1.82,5.11,4.58,11.59,6.36,3.62,12.89
Book Value per Share,373.12,423.60,540.87,541.98,460.47,376.83,332.56,336.03,315.46,307.72,245.58,217.00,217.83
Earning Per Share,-50.82,-108.70,22.14,100.61,96.14,46.38,12.03,35.57,32.74,82.14,41.08,19.17,75.10
Net Working Capital to Total Asseets,-0.18,-0.06,0.08,0.10,0.26,0.47,0.41,0.41,0.39,0.38,0.31,0.34,0.32
Current Ratio,0.65,0.89,1.24,1.36,1.84,2.32,1.84,1.80,1.70,1.68,1.50,1.58,1.52
Acid Test,0.24,0.24,0.60,0.65,1.10,1.47,0.87,0.98,0.86,1.04,1.10,1.04,1.03
Times Interest Earned,-4.91,-1.09,1.51,46.56,37.62,7.52,3.21,6.14,4.32,67.65,8.38,2.18,7.63
Total Debt Ratio,0.53,0.56,0.34,0.29,0.31,0.37,0.50,0.52,0.56,0.57,0.62,0.59,0.63
Debt To Equity,1.12,1.25,0.52,0.42,0.46,0.59,0.98,1.07,1.26,1.30,1.63,1.44,1.68
Return on Capital Employed,-0.41,-0.17,0.06,0.19,0.28,0.21,0.10,0.20,0.23,0.41,0.29,0.30,0.57
Average Collection Period,11.69,17.01,21.28,20.49,20.61,17.83,17.96,22.36,27.69,34.64,53.97,49.44,28.70
Days sales Inventory,35.70,60.13,38.73,44.26,53.64,37.60,44.67,48.95,56.89,53.30,44.64,46.15,43.26
Total Assets Turnover,1.98,2.11,2.08,1.75,1.75,3.09,3.93,3.22,3.06,2.62,2.13,2.59,2.78
Gross Profit Margin,-8.85,-2.77,2.78,9.12,11.77,4.61,1.48,2.83,2.70,6.74,5.75,4.81,8.26
Net Profit Margin,-3.23,-5.40,1.29,7.49,8.20,2.50,0.46,1.59,1.50,4.42,2.98,1.40,4.64
