Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"4,499,104,712","4,887,142,248","3,580,118,885","2,668,804,664","1,778,018,742","1,806,427,261","2,199,528,399","2,402,440,493","2,560,856,250","2,601,733,809","2,383,949,676","2,769,953,368"
COGS,"3,993,379,722","4,383,297,157","3,250,464,221","2,371,467,054","1,542,084,055","1,654,638,619","2,012,781,270","2,186,079,779","2,341,701,743","2,284,047,091","2,072,599,912","2,551,882,380"
Gross Profit,"505,724,990","503,845,091","329,654,664","297,337,610","235,934,687","151,788,642","186,747,129","216,360,714","219,154,507","317,686,718","311,349,764","218,070,988"
Administrative Expenses,"54,704,812","46,675,297","41,920,229","31,407,570","53,388,218","50,608,885","50,758,322","44,595,913","41,957,778","83,583,144","100,691,461","99,085,454"
Selling & Distributive Expenses,"56,994,912","68,288,037","51,996,207","45,437,159","46,523,528","62,110,144","70,484,321","57,742,114","58,891,540","83,019,941","73,688,564","80,928,058"
Financial Charges,"185,128,264","167,591,727","75,114,419","60,992,853","49,605,099","94,645,423","111,522,387","110,466,241","125,669,614","159,159,598","159,605,644","186,704,664"
Other Income,"14,203,919","12,656,227","8,741,805","7,236,751","22,744,813","13,047,476","7,553,202","1,947,039","9,790,873","44,896,868","-14,511,103","-385,017"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"36,061,190","70,445,579","84,213,754","55,661,267","36,284,159","19,796,881","19,293,014","48,821,037","6,690,783","35,599,218","16,035,569","15,891,859"
EBITDA,"415,154,691","374,708,992","195,882,742","210,053,928","122,483,595","67,050,027","91,259,372","106,383,497","163,207,294","214,443,113","153,965,531","68,826,739"
EBIT,"372,167,995","331,092,405","160,266,279","172,068,365","122,483,595","32,320,208","53,764,674","67,148,689","121,405,279","160,381,283","106,423,067","21,780,600"
EBT,"187,039,731","163,500,678","85,151,860","111,075,512","72,878,496","-62,325,215","-57,757,713","-43,317,552","-4,264,335","1,221,685","-53,182,577","-164,924,064"
Tax,"59,824,730","9,483,260","-17,958,828","36,738,862","19,796,345","20,041,701","11,316,495","-1,216,175","57,439,294","20,501,776","204,680","-30,233,523"
PAT,"127,215,001","154,017,418","103,110,688","74,336,650","53,082,151","-82,366,916","-69,074,208","-42,101,377","-61,703,629","-19,280,091","-53,387,257","-134,690,541"
EPS,0.45,0.54,0.36,0.27,0.24,-0.41,-0.35,-0.21,-0.31,-0.1,-0.27,-0.67
