Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"244,856,754,000","261,481,188,000","205,335,000,000","171,829,364,000","162,866,578,000","210,624,908,000","257,014,254,000","223,365,490,000","197,838,726,000","155,631,290,000","142,571,863,000","130,829,579,000","125,908,304,000"
COGS,"113,992,124,000","106,918,949,000","100,045,753,000","90,093,753,000","89,525,334,000","78,657,997,000","80,941,450,000","65,699,543,000","59,532,473,000","52,902,800,000","41,948,928,000","39,352,049,000","38,406,147,000"
Gross Profit,"130,864,630,000","154,562,239,000","105,289,247,000","81,735,611,000","73,341,244,000","131,966,911,000","176,072,804,000","157,665,947,000","138,306,253,000","102,728,490,000","100,622,935,000","91,477,530,000","87,502,157,000"
Administrative Expenses,"5,070,904,000","4,129,249,000","4,087,862,000","4,239,642,000","3,770,607,000","4,308,255,000","2,964,932,000","2,679,534,000","2,200,313,000","2,233,672,000","1,598,161,000","1,332,982,000","1,248,640,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"3,011,454,000","1,692,538,000","1,729,886,000","1,514,634,000","1,717,889,000","2,550,067,000","2,204,287,000","2,315,324,000","1,718,651,000","1,484,781,000","1,273,312,000","926,027,000","536,799,000"
Other Income,"27,812,364,000","37,153,667,000","19,082,986,000","17,847,572,000","16,891,870,000","20,229,932,000","19,240,164,000","15,799,352,000","9,747,658,000","3,382,409,000","3,364,332,000","3,428,326,000","3,910,216,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"7,529,732,000","9,294,706,000","5,927,724,000","4,691,445,000","4,237,231,000","18,313,068,000","17,793,844,000","22,654,153,000","11,052,133,000","11,410,242,000","12,563,041,000","11,718,924,000","11,319,530,000"
EBITDA,"175,105,585,000","207,261,461,000","140,825,554,000","113,574,084,000","104,590,737,000","145,862,589,600","197,305,336,000","162,667,268,000","148,405,593,000","108,331,157,000","99,606,607,000","91,368,760,000","86,935,230,000"
EBIT,"146,076,358,000","178,291,951,000","114,356,647,000","90,652,096,000","82,225,276,000","129,575,520,000","174,554,192,000","148,131,612,000","134,801,465,000","92,466,985,000","89,826,065,000","81,853,950,000","78,844,203,000"
EBT,"143,064,904,000","176,599,413,000","112,626,761,000","89,137,462,000","80,507,387,000","127,025,453,000","172,349,905,000","145,816,288,000","133,082,814,000","90,982,204,000","88,552,753,000","80,927,923,000","78,307,404,000"
Tax,"42,983,233,000","58,213,625,000","33,890,466,000","25,334,060,000","20,536,585,000","39,776,421,000","48,435,355,000","55,039,579,000","36,177,239,000","27,454,934,000","29,375,628,000","25,388,282,000","33,969,293,000"
PAT,"100,081,671,000","118,385,788,000","78,736,295,000","63,803,402,000","59,970,802,000","87,249,032,000","123,914,550,000","90,776,709,000","96,905,575,000","63,527,270,000","59,177,125,000","55,539,641,000","44,338,111,000"
EPS,23.27,27.53,18.31,14.83,13.94,20.29,28.81,21.11,22.53,14.77,13.76,12.91,10.31
