Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,29.01,39.96,54.62,40.45,37.29,38.20,32.11,39.09,32.18,37.24,39.97,63.89,92.15
Plow Back,70.99,60.04,45.38,59.55,62.71,61.80,67.89,60.91,67.82,62.76,60.03,36.11,7.85
Return on Equity,14.53,18.93,14.30,12.44,12.53,19.72,31.32,28.05,36.11,31.52,37.60,44.02,40.16
Return on Assets,11.62,15.44,11.81,10.17,10.17,15.75,24.97,21.93,28.64,24.27,25.86,31.20,29.11
Book Value per Share,160.16,145.40,128.01,119.27,111.29,102.89,92.00,75.25,62.40,46.87,36.60,29.34,25.67
Earning Per Share,23.27,27.53,18.31,14.83,13.94,20.29,28.81,21.11,22.53,14.77,13.76,12.91,10.31
Net Working Capital to Total Asseets,0.54,0.57,0.53,0.46,0.33,0.29,0.29,0.23,0.56,0.49,0.37,0.37,0.38
Current Ratio,5.90,7.02,7.35,6.39,4.32,3.55,4.04,3.47,8.74,6.87,3.46,4.08,3.72
Acid Test,5.70,6.75,7.02,6.04,4.01,3.27,3.65,3.03,8.21,6.22,3.03,3.25,2.94
Times Interest Earned,48.51,105.34,66.11,59.85,47.86,50.81,79.19,63.98,78.43,62.28,70.55,88.39,146.88
Total Debt Ratio,0.20,0.18,0.17,0.18,0.19,0.20,0.20,0.22,0.21,0.23,0.31,0.29,0.28
Debt To Equity,0.25,0.23,0.21,0.22,0.23,0.25,0.25,0.28,0.26,0.30,0.45,0.41,0.38
Return on Capital Employed,0.19,0.26,0.19,0.16,0.15,0.26,0.39,0.39,0.43,0.39,0.46,0.52,0.60
Average Collection Period,485.39,338.83,290.98,251.88,249.22,210.40,142.74,91.31,254.78,182.72,212.47,156.63,118.00
Days sales Inventory,61.48,65.54,66.88,76.24,75.60,79.65,85.33,93.84,80.14,98.26,127.90,162.99,159.35
Total Assets Turnover,0.28,0.34,0.31,0.27,0.28,0.38,0.52,0.54,0.58,0.59,0.62,0.74,0.83
Gross Profit Margin,53.45,59.11,51.28,47.57,45.03,62.66,68.51,70.59,69.91,66.01,70.58,69.92,69.50
Net Profit Margin,40.87,45.27,38.34,37.13,36.82,41.42,48.21,40.64,48.98,40.82,41.51,42.45,35.22
