Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,0.18,0.17,0.13,0.08,0.10,0.11,0.07,0.14,0.05,0.05,0.13,0.23,0.25
Current Ratio,1.62,1.56,1.36,1.21,1.30,1.35,1.18,1.42,1.13,1.13,1.35,1.86,2.37
Time Interest Earn,1.53,1.94,2.24,1.73,1.58,1.50,1.39,1.25,1.15,1.13,1.06,0.83,1.16
Return on Capital Employed,0.17,0.17,0.18,0.13,0.11,0.13,0.15,0.13,0.17,0.15,0.15,0.11,0.11
Payout,77.32,61.27,30.27,0.00,49.77,55.04,55.64,53.49,60.97,0.00,0.00,0.00,39.09
Plow Back,22.68,38.73,69.73,0.00,50.23,44.96,44.36,46.51,39.03,100.00,100.00,100.00,60.91
Return on Equity,8.53,12.76,19.03,18.84,17.79,18.90,16.84,12.52,8.20,6.44,5.18,-22.48,10.24
Return on Assets,3.05,3.93,5.17,2.43,2.10,2.37,2.11,1.46,0.92,0.66,0.44,-1.71,0.96
Book Value per Share,49.29,47.97,52.07,54.41,50.81,43.25,37.34,32.85,30.00,27.39,24.57,26.01,37.48
Earning Per Share,4.20,6.12,10.11,10.25,9.04,8.18,6.29,4.11,2.46,1.76,1.27,-5.85,3.34
