Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008
Cash in Hand and Bank,"1,038,077,150","432,292,749","409,085,082","367,303,155","266,801,857","267,884,031","143,904,857","487,023,023","10,314,667","77,803,945","42,741,602","16,420,291"
Current Assets,"2,362,837,279","1,789,621,276","1,173,942,456","590,809,103","570,074,707","751,519,517","823,723,432","1,213,680,430","740,525,990","1,131,601,786","1,022,735,914","1,253,455,335"
Musharika & Morabaha finances-Assets,"3,230,795,565","3,084,690,228","2,493,963,283","997,672,332","169,798,936","1,166,663,855","1,352,981,705","1,507,807,827","1,151,354,388","202,141,770","155,172,996","113,840,153"
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Fixed Assets,"5,789,033","8,477,133","17,344,567","24,880,350","10,184,137","14,510,870","23,070,364","10,040,465","1,646,242","3,277,513","3,649,699","4,036,330"
Total Assets,"7,246,367,178","6,966,013,121","6,953,437,016","5,962,291,111","5,277,852,441","5,180,247,841","6,035,315,393","6,840,029,004","6,131,625,136","3,605,065,050","3,437,183,095","3,076,000,199"
Total Current Liabilities,"4,936,903,309","4,206,664,577","4,206,169,711","3,467,563,938","2,804,613,371","1,700,373,684","2,513,442,782","5,101,643,436","4,480,680,582","2,317,416,708","2,052,796,650","1,782,627,986"
Total Non Current Liabilities,"1,134,991,064","1,598,873,098","1,599,386,942","1,344,608,179","1,297,056,888","2,327,049,628","2,428,367,734","735,817,850","690,250,125","359,033,608","460,768,546","401,039,720"
Musharika & Morabaha finances-Liability,"5,111,575,504","4,719,376,877",0,"3,697,750,000","2,288,533,179","91,067,022","1,041,044,650","514,383,940","1,025,333,761","9,472,819","362,514,635","989,441,571"
Total Liabilities,"6,071,894,373","5,805,537,675","5,805,556,653","4,812,172,117","4,101,670,259","4,027,423,312","4,941,810,516","5,837,461,286","5,170,930,707","2,676,450,316","2,513,565,196","2,183,667,706"
Paid Up Capital,"453,835,300","453,835,300","453,835,300","453,835,300","453,835,300","453,835,300","453,835,300","453,835,300","453,835,300","453,835,300","453,835,300","453,835,300"
Reserves,"720,637,505","706,640,146","694,045,063","696,283,694","722,346,882","698,989,229","639,669,577","548,732,418","506,859,129","474,779,434","469,782,599","438,497,193"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,174,472,805","1,160,475,446","1,147,880,363","1,150,118,994","1,176,182,182","1,152,824,529","1,093,504,877","1,002,567,718","960,694,429","928,614,734","923,617,899","892,332,493"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"45,383,530","45,383,530","45,383,530","45,383,530","45,383,530","45,383,530","45,383,530","45,383,530","45,383,530","45,383,530","45,383,530","45,383,530"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
