Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"601,264","468,464","452,159,000","452,471,000","453,363,000","459,578,000","592,660,000","595,832,000","710,684,000","523,091,000","557,116,000","545,193,000","481,988,000"
Investments,"2,595,572","2,519,062","2,513,263,000","3,464,202,000","4,220,807,000","4,272,758,000","4,221,445,000","3,997,665,000","3,868,883,000","4,452,259,000","6,085,715,000","4,703,839,000","4,181,118,000"
Cash in Hand and Bank,"23,125","165,393","31,988,000","1,479,000","629,000","1,155,000","1,622,000","5,515,000","8,001,000","59,352,000","176,651,000","340,692,000","1,314,880,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,"2,821,179","2,790,226","1,978,489,000","1,358,397,000","1,802,137,000","2,184,422,000","1,968,645,000","1,859,146,000","1,982,420,000","1,618,172,000","1,088,554,000","1,488,110,000","1,189,809,000"
Trade Debts,"406,985","424,753","494,581,000","655,396,000","647,490,000","676,181,000","630,465,000","649,827,000","721,249,000","1,019,193,000","1,651,599,000","1,316,281,000","997,343,000"
Current Assets,"3,768,379","3,872,993","3,717,944,000","2,117,732,000","2,609,135,000","3,003,054,000","2,727,497,000","2,894,205,000","3,015,631,000","2,927,459,000","3,260,032,000","3,250,312,000","3,697,206,000"
Quick Assets,"947,200","1,082,767","1,739,455,000","759,335,000","806,998,000","818,632,000","758,852,000","1,035,059,000","1,033,211,000","1,309,287,000","2,171,478,000","1,762,202,000","2,507,397,000"
Total Assets,"6,982,842","6,878,657","6,702,020,000","6,904,892,000","7,303,003,000","7,755,618,000","7,562,366,000","7,509,017,000","7,617,268,000","8,612,801,000","10,559,362,000","9,025,242,000","8,561,122,000"
Interest Bearing Long Term Liability,"136,572","49,810","54,132,000","51,068,000",0,0,0,0,"227,000","2,976,057,000","2,964,702,000","3,456,754,000","3,278,017,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,"112,330,000","44,255,000","45,589,000","330,424,000"
Interest Bearing Short Term Liability,"3,940,406","3,786,553","3,032,699,000","2,924,684,000","3,379,023,000","3,807,176,000","3,842,540,000","3,949,485,000","3,845,248,000","743,362,000","706,894,000","31,649,000","44,843,000"
* Non Interest Bearing Short Term Liability,"2,034,193","1,755,378","1,515,875,000","1,285,908,000","1,555,812,000","1,659,195,000","1,322,851,000","1,010,699,000","505,049,000","325,172,000","232,393,000","207,134,000","238,209,000"
Trades Payables,"845,135","677,555","544,518,000","398,395,000","455,901,000","291,120,000","231,634,000","216,185,000",0,"325,172,000","232,393,000","207,134,000","238,209,000"
Total Current Liabilities,"6,202,855","5,796,495","4,690,363,000","4,361,134,000","5,042,367,000","5,794,747,000","5,297,069,000","5,059,137,000","4,550,224,000","1,068,534,000","939,287,000","238,783,000","238,052,000"
Total Liabilities,"6,385,361","5,892,209","4,789,274,000","4,461,092,000","5,080,645,000","5,830,342,000","5,331,723,000","5,084,690,000","4,684,730,000","4,207,318,000","4,073,216,000","3,830,843,000","4,000,416,000"
Paid Up Capital,"2,788,760","2,788,760","2,788,766,000","2,788,766,000","2,788,766,000","2,788,766,000","2,788,766,000","2,788,766,000","2,788,766,000","2,788,766,000","2,788,766,000","2,328,220,000","2,204,656,000"
Reserves,"-2,191,285","-1,802,318","-876,020,000","-344,966,000","-566,408,000","-863,490,000","-558,123,000","-364,439,000","143,772,000","1,616,717,000","3,697,380,000","2,866,179,000","2,356,050,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"597,475","986,442","1,912,746,000","2,443,800,000","2,222,358,000","1,925,276,000","2,230,643,000","2,424,327,000","2,932,538,000","4,405,483,000","6,486,146,000","5,194,399,000","4,560,706,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"278,876","278,876","278,876,600","278,876,604","278,876,604","278,876,604","278,876,604","278,876,604","278,876,604","278,876,604","278,876,604","232,822,008","220,465,538"
