Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"244,124","456,480","737,452,000","425,574,000","416,931,000","413,204,000","362,621,000","392,294,000","218,747,000","-476,405,000","1,649,336,000","1,261,809,000","1,530,498,000"
COGS,"177,674","346,475","764,122,000","409,780,000","368,731,000","407,893,000","268,725,000","422,569,000","374,064,000","-74,393,000","1,458,397,000","944,433,000","1,004,886,000"
Gross Profit,"66,450","110,005","-26,670,000","15,794,000","48,200,000","5,311,000","93,896,000","-30,275,000","-155,317,000","-402,012,000","190,939,000","317,376,000","525,612,000"
Administrative Expenses,"163,791","162,001","217,959,000","173,426,000","177,857,000","137,520,000","159,214,000","210,171,000","231,199,000","263,630,000","143,379,000","67,595,000","122,271,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"205,459","138,311","114,051,000","132,409,000","169,256,000","230,351,000","274,168,000","370,576,000","464,568,000","484,957,000","211,210,000","272,591,000","246,260,000"
Other Income,"27,852","-709,588","112,256,000","534,456,000","702,448,000","109,349,000","154,965,000","233,291,000","-498,509,000","-747,484,000","888,888,000","613,216,000","1,505,291,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"119,880","22,924","278,912,000","4,974,000","49,276,000","49,537,000","1,491,000","129,103,000","121,450,000","236,479,000","22,314,000","244,610,000","209,079,000"
EBITDA,"-156,164","-757,938","-387,142,000","394,756,000","546,290,000","-49,288,000","112,356,000","-42,964,000","-979,986,000","-1,588,824,000","973,839,000","657,768,000","1,721,612,000"
EBIT,"-189,369","-784,508","-411,285,000","371,850,000","523,515,000","-72,397,000","88,156,000","-136,258,000","-1,006,475,000","-1,649,605,000","914,134,000","618,387,000","1,699,553,000"
EBT,"-394,828","-922,819","-525,336,000","239,441,000","354,259,000","-302,748,000","-186,012,000","-506,834,000","-1,471,043,000","-2,134,562,000","702,924,000","345,796,000","1,453,293,000"
Tax,"3,051","6,433","11,726,000","15,306,000","60,224,000","4,132,000","3,626,000","936,000","873,000","-54,001,000","69,759,000","-91,000,000","46,323,000"
PAT,"-397,879","-929,252","-537,062,000","224,135,000","294,035,000","-306,880,000","-189,638,000","-507,770,000","-1,471,916,000","-2,080,561,000","633,165,000","436,796,000","1,406,970,000"
EPS,-1.43,-3.33,-1.93,0.8,1.05,-1.1,-0.68,-1.82,-5.28,-7.46,2.37,1.93,6.36
