Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"197,975,402","226,070,394","224,825,070","234,322,243","248,584,782","269,065,862","310,556,149","351,912,386","370,157,970","397,196,351","405,264,830","357,552,970"
Investments,"112,000,000","256,000,000","186,000,000","342,012,000","334,844,000","295,875,000","435,440,000","296,368,000","203,680,000","207,620,000","234,020,130","96,421,265"
Cash in Hand and Bank,"205,936,957","83,931,020","96,221,470","76,125,161","85,460,773","66,270,587","59,723,665","186,654,737","74,267,057","151,516,023","127,313,184","82,415,520"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,0,0,0,0,0,0,0,0,0,0,0,0
Trade Debts,"343,316,340","252,192,359","341,994,464","226,505,771","99,953,056","94,165,212","137,419,216","94,440,454","98,287,860","85,151,353","101,599,940","172,458,824"
Current Assets,"1,006,150,747","907,436,062","868,006,856","853,773,510","845,973,438","843,655,263","903,438,595","697,735,845","597,918,420","682,999,749","595,908,520","475,272,689"
Quick Assets,"1,006,150,747","907,436,062","868,006,856","853,773,510","845,973,438","843,655,263","903,438,595","697,735,845","597,918,420","682,999,749","595,908,520","475,272,689"
Total Assets,"1,272,842,099","1,156,194,316","1,108,086,345","1,101,902,993","1,105,350,204","1,119,873,375","1,221,907,643","1,059,056,130","978,979,289","1,080,196,100","1,001,173,350","832,988,309"
Interest Bearing Long Term Liability,"6,977,448","12,378,468",0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"4,819,063","5,306,597",0,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"392,930,214","304,065,905","117,236,586","107,276,716","87,219,208","125,812,835","258,229,790","123,693,798","138,905,289","230,753,598","251,564,804","237,549,656"
Trades Payables,"195,261,255","163,632,587","117,236,586","107,276,716","87,219,208","125,812,835","258,229,790","123,693,798","138,905,289","143,108,557","171,755,657","181,613,243"
Total Current Liabilities,"414,725,830","319,529,513","262,162,527","249,618,920","250,740,821","287,074,131","424,660,217","288,104,142","249,512,125","322,733,705","340,263,989","287,136,780"
Total Liabilities,"467,754,366","375,544,414","303,897,131","291,631,171","290,071,006","321,586,606","462,310,678","336,699,987","319,350,951","392,555,157","409,899,419","356,485,127"
Paid Up Capital,"98,010,000","98,010,000","98,010,000","98,010,000","98,010,000","98,010,000","98,010,000","98,010,000","78,408,000","78,408,000","78,408,000","78,408,000"
Reserves,"707,077,733","682,639,902","706,179,214","712,261,822","717,269,198","700,276,769","661,586,965","624,346,143","581,220,338","609,232,943","512,865,931","398,095,182"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"805,087,733","780,649,902","804,189,214","810,271,822","815,279,198","798,286,769","759,596,965","722,356,143","659,628,338","687,640,943","591,273,931","476,503,182"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"9,801,000","9,801,000","9,801,000","9,801,000","9,801,000","9,801,000","9,801,000","9,801,000","7,840,800","7,840,800","7,840,800","7,840,800"
