Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"4,486,584,000","4,558,190,000","2,948,292,000","3,130,100,000","3,120,315,000","3,162,583,000","3,021,241,000","2,604,743,000","2,035,575,000","1,249,277,000","1,064,448,000","1,128,372,000"
Investments,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000",0,0,0,0
Cash in Hand and Bank,"19,099,000","144,780,000","434,239,000","110,092,000","94,026,000","307,612,000","290,199,000","353,549,000","125,551,000","478,064,000","500,310,000","334,478,000"
Stores and Spares,"205,913,000","161,393,000","117,768,000","92,305,000","109,167,000","114,790,000","113,146,000","116,732,000","108,272,000","100,785,000","88,973,000","83,712,000"
Stock in Trade,"604,481,000","406,146,000","264,728,000","354,576,000","299,169,000","276,591,000","226,226,000","208,695,000","115,061,000","184,455,000","166,801,000","246,276,000"
Trade Debts,"838,909,000","674,550,000","666,736,000","519,720,000","439,332,000","293,490,000","248,320,000","203,269,000","156,553,000","168,854,000","153,030,000","157,555,000"
Current Assets,"2,487,070,000","2,035,484,000","2,056,656,000","2,291,000,000","1,464,469,000","1,383,442,000","1,112,404,000","1,006,998,000","698,491,000","1,044,764,000","1,039,945,000","932,134,000"
Quick Assets,"1,676,676,000","1,467,945,000","1,674,160,000","1,844,119,000","1,056,133,000","992,061,000","773,032,000","681,571,000","475,158,000","759,524,000","784,171,000","602,146,000"
Total Assets,"7,063,069,000","6,697,238,000","5,087,282,000","4,937,602,000","4,657,485,000","4,597,815,000","4,189,399,000","3,638,491,000","2,773,933,000","2,387,235,000","2,315,949,000","2,312,300,000"
Interest Bearing Long Term Liability,"29,530,000",0,"270,000,000","270,000,000","1,040,000,000","810,000,000","995,000,000","750,000,000","200,000,000",0,0,0
Non Interest Bearing Long Term Liability,"193,516,000","184,818,000","186,384,000","165,858,000","155,769,000","140,478,000","154,358,000","141,586,000","129,880,000","122,495,000","115,565,000","113,001,000"
Interest Bearing Short Term Liability,"1,333,453,000","1,248,568,000","1,124,700,000","859,111,000","270,000,000","528,193,000","100,000,000",0,0,0,0,0
* Non Interest Bearing Short Term Liability,"1,059,883,000","1,024,246,000","1,181,846,000","1,431,889,000","1,081,172,000","1,088,752,000","945,058,000","863,816,000","614,006,000","536,202,000","368,414,000","390,431,000"
Trades Payables,"1,059,883,000","1,024,246,000","1,181,846,000","1,431,889,000","1,081,172,000","1,088,752,000","945,058,000","863,816,000","614,006,000","536,202,000","368,414,000","390,431,000"
Total Current Liabilities,"2,413,481,000","2,295,628,000","2,306,546,000","2,291,000,000","1,351,172,000","1,616,945,000","1,045,058,000","863,816,000","695,060,000","578,329,000","545,644,000","462,748,000"
Total Liabilities,"2,919,330,000","2,798,258,000","3,119,920,000","3,124,241,000","2,937,965,000","2,906,848,000","2,486,205,000","1,959,594,000","1,192,255,000","896,105,000","863,243,000","804,873,000"
Paid Up Capital,"325,503,000","250,387,000","250,387,000","250,387,000","250,387,000","250,387,000","250,387,000","250,387,000","250,387,000","250,387,000","250,387,000","250,387,000"
Reserves,"2,020,086,000","1,850,443,000","1,716,975,000","1,562,974,000","1,469,133,000","1,440,580,000","1,452,807,000","1,428,510,000","1,331,291,000","1,240,743,000","1,202,319,000","1,257,040,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,798,150,000","1,798,150,000",0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"4,143,739,000","3,898,980,000","1,967,362,000","1,813,361,000","1,719,520,000","1,690,967,000","1,703,194,000","1,678,897,000","1,581,678,000","1,491,130,000","1,452,706,000","1,507,427,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"32,550,300","25,038,700","25,038,700","25,038,720","25,038,720","25,038,720","25,038,720","25,038,720","25,038,720","25,038,720","25,038,720","25,038,720"
