Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"4,666,590,000","4,860,059,000","4,412,652,000","3,954,638,000","3,914,176,000","3,925,036,000","4,016,101,000","3,739,405,000","3,044,800,000","2,530,022,000","2,307,741,000","2,453,341,000"
COGS,"3,600,834,000","3,750,528,000","3,420,925,000","3,058,644,000","3,084,953,000","3,214,664,000","3,251,870,000","2,785,235,000","2,275,591,000","1,843,248,000","1,596,752,000","1,617,694,000"
Gross Profit,"1,065,756,000","1,109,531,000","991,727,000","895,994,000","829,223,000","710,372,000","764,231,000","954,170,000","769,209,000","686,774,000","710,989,000","835,647,000"
Administrative Expenses,"223,943,000","207,487,000","235,669,000","229,614,000","227,649,000","233,622,000","214,358,000","193,676,000","171,376,000","149,054,000","132,727,000","130,094,000"
Selling & Distributive Expenses,"253,805,000","207,554,000","285,079,000","235,127,000","244,393,000","240,854,000","209,527,000","231,066,000","211,490,000","195,134,000","152,785,000","158,681,000"
Financial Charges,"173,050,000","116,319,000","95,377,000","110,610,000","126,314,000","117,676,000","105,051,000","44,266,000","1,916,000","2,198,000","2,125,000","2,702,000"
Other Income,"27,375,000","15,789,000","27,232,000","20,992,000","20,876,000","86,079,000","56,585,000","68,635,000","58,850,000","123,214,000","165,744,000","58,471,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"4,545,400","55,429,000","62,813,000","32,046,000","59,938,000","26,897,000","46,472,000","238,383,000","40,554,000","88,576,000","214,812,000","54,948,000"
EBITDA,"970,480,600","1,022,697,000","794,149,000","765,158,000","646,832,000","585,587,000","595,332,000","627,883,000","404,639,000","554,716,000","548,056,000","699,212,000"
EBIT,"610,837,600","654,850,000","435,398,000","420,199,000","318,119,000","295,078,000","350,459,000","359,680,000","404,639,000","377,224,000","376,409,000","550,395,000"
EBT,"437,787,600","538,531,000","340,021,000","309,589,000","191,805,000","177,402,000","245,408,000","315,414,000","402,723,000","375,026,000","374,284,000","547,693,000"
Tax,"96,294,000","139,836,000","99,988,000","92,703,000","50,951,000","50,515,000","63,941,000","39,125,000","139,848,000","131,201,000","122,672,000","145,587,000"
PAT,"341,493,600","398,695,000","240,033,000","216,886,000","140,854,000","126,887,000","181,467,000","276,289,000","262,875,000","243,825,000","251,612,000","402,106,000"
EPS,9.23,15.92,9.59,8.66,5.63,5.07,7.25,11.03,10.5,9.74,10.05,16.06
