Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Net Premium Revenue,"753,350,000","5,463,586,365","5,098,322,438","5,801,847,899","5,218,941,690","4,783,922,619","4,724,399,368","4,096,084,240","3,534,950,079","2,940,507,757","2,170,949,824","1,895,574,584","1,693,082,718"
Net Claims,"417,753,000","2,991,795,443","3,739,974,173","3,335,559,819","2,774,829,237","2,793,166,531","2,830,900,639","2,217,052,606","2,017,544,619","1,688,408,467","904,799,157","961,692,233","931,289,492"
Direct Expenses,"294,417,000","844,492,508","744,168,406","657,088,258","621,390,801","525,472,923","503,353,925","502,937,262","352,920,536","301,805,388","231,410,090","250,091,008","153,959,979"
Net Commission,"-60,118,000","1,046,692,516","1,141,936,913","1,264,466,697","1,100,863,220","949,957,713","936,769,292","867,337,679","785,059,136","659,151,044","553,241,601","477,654,941","399,881,903"
Under Writing Results,"101,298,000","580,605,898","-527,757,054","544,733,125","721,858,432","515,325,452","453,375,512","508,756,693","379,425,788","291,142,858","481,498,976","206,136,402","207,951,344"
Investment Income,"94,810,000","690,969,818","3,325,868,531","961,156,893","934,709,691","1,078,904,472","1,101,402,174","918,242,731","890,803,683","653,470,381","1,099,396,937","846,394,452","3,689,376,821"
Administrative & Other Expenses,"124,374,000","11,354,981","115,683,592","220,428,132","38,083,492","30,168,920","58,562,113","43,191,366","37,757,382","34,666,457","35,208,235","61,711,695","135,029,124"
Other Income,"25,493,000","479,722,802","291,112,825","141,485,913","153,789,248","644,434","209,785,750","117,737,226","88,965,298","83,588,587","175,020,093","148,180,708","96,348,052"
Change In Value of Investement,0,0,0,0,0,0,"-97,334","-20,461,256","-63,909,856","-343,031,445","-1,402,427,326",0,0
Statutory Funds Transfer,0,0,0,0,0,0,0,0,0,0,0,0,0
EBT,"97,227,000","1,739,943,537","2,973,540,710","1,426,947,799","1,772,273,879","1,564,705,437","1,705,903,989","1,481,084,028","1,257,527,531","650,503,924","318,280,445","1,138,999,867","3,858,647,093"
Tax,"27,140,000","504,656,518","754,276,450","452,684,601","395,576,870","320,689,594","384,755,911","377,216,710","412,714,568","124,250,677","48,369,575","252,774,828","133,393,467"
PAT,"70,087,000","1,235,287,019","2,219,264,260","974,263,198","1,376,697,009","1,244,015,843","1,321,148,078","1,103,867,318","844,812,963","526,253,247","269,910,870","886,225,039","3,725,253,626"
EPS,0.57,4.12,7.4,3.25,4.59,4.15,4.4,3.68,2.82,1.75,0.9,2.95,12.42
