Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"12,322,830,000","9,130,827,000","8,630,814,000","8,629,435,000","9,184,971,000","8,713,477,000","7,084,521,000","5,694,961,000","6,092,284,000","5,823,688,000","5,952,108,000"
Investments,"3,006,058,000","8,704,508,000","6,768,842,000","984,903,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000"
Cash in Hand and Bank,"535,905,000","293,165,000","390,128,000","147,324,000","53,089,000","149,573,000","60,128,000","139,030,000","109,631,000","51,945,000","47,874,000"
Stores and Spares,"663,999,000","634,029,000","593,909,000","570,224,000","675,564,000","472,029,000","488,213,000","341,855,000","190,110,000","199,207,000","218,375,000"
Stock in Trade,"21,422,543,000","18,489,390,000","14,460,890,000","13,618,530,000","14,007,537,000","11,894,508,000","9,166,367,000","7,225,301,000","6,462,330,000","6,002,823,000","5,765,367,000"
Trade Debts,"4,260,000","1,553,000","2,636,000","1,839,000","906,000","3,225,000","764,000","1,073,000","1,202,000","1,597,000","1,684,000"
Current Assets,"27,901,242,000","30,325,224,000","23,465,833,000","16,729,487,000","15,535,610,000","13,194,639,000","10,318,995,000","8,163,096,000","7,197,303,000","6,530,920,000","6,242,528,000"
Quick Assets,"5,814,700,000","11,201,805,000","8,411,034,000","2,540,733,000","852,509,000","828,102,000","664,415,000","595,940,000","544,863,000","328,890,000","258,786,000"
Total Assets,"40,435,614,000","40,452,602,000","32,133,966,000","25,397,493,000","24,754,653,000","21,945,588,000","17,430,069,000","13,883,800,000","13,318,487,000","12,378,400,000","12,226,861,000"
Interest Bearing Long Term Liability,"1,341,607,000","284,845,000","260,050,000","314,950,000","415,123,000","400,354,000","293,044,000","96,024,000",0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"376,065,000","223,787,000","165,245,000","259,722,000","1,373,866,000","682,245,000","2,529,004,000","1,287,781,000","1,783,623,000","2,252,218,000","1,300,837,000"
* Non Interest Bearing Short Term Liability,"16,320,952,000","18,626,699,000","10,800,279,000","9,098,420,000","10,428,847,000","11,290,665,000","7,751,794,000","7,032,791,000","7,118,891,000","5,386,514,000","5,065,128,000"
Trades Payables,"16,295,217,000","18,621,368,000","10,796,865,000","9,094,982,000","10,417,040,000","11,266,499,000","7,724,746,000","6,991,911,000","7,067,704,000","5,339,725,000","5,037,469,000"
Total Current Liabilities,"20,157,209,000","21,813,057,000","13,854,493,000","10,973,450,000","12,934,374,000","12,433,642,000","10,710,699,000","8,589,484,000","8,902,514,000","7,638,732,000","6,856,780,000"
Total Liabilities,"22,144,759,000","22,686,978,000","15,222,768,000","12,420,863,000","14,388,494,000","13,934,225,000","12,017,861,000","9,776,400,000","9,984,552,000","8,776,313,000","7,966,627,000"
Paid Up Capital,"2,554,938,000","2,554,938,000","2,554,938,000","2,554,938,000","2,554,938,000","2,554,938,000","2,554,938,000","2,554,938,000","2,554,938,000","2,554,938,000","2,554,938,000"
Reserves,"15,735,917,000","15,210,686,000","14,356,260,000","10,421,692,000","7,811,221,000","5,456,425,000","2,857,270,000","1,552,462,000","778,997,000","1,047,149,000","1,705,296,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"18,290,855,000","17,765,624,000","16,911,198,000","12,976,630,000","10,366,159,000","8,011,363,000","5,412,208,000","4,107,400,000","3,333,935,000","3,602,087,000","4,260,234,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"255,493,800","255,493,800","255,493,800","255,493,792","255,493,792","255,493,792","255,493,792","255,493,792","255,493,792","255,493,792","255,493,792"
