Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"4,145,624,000","3,379,023,000","2,186,084,000","2,166,066,000","2,090,035,000","1,590,419,000","1,562,137,000","1,401,668,000","1,495,289,000","1,581,533,000","1,625,394,000","1,711,507,000","1,643,567,000"
Investments,"46,696,000","44,392,000","96,926,000","76,648,000","41,661,000","26,821,000","19,819,000","19,766,000","18,405,000","111,877,000","123,200,000","117,418,000","137,856,000"
Cash in Hand and Bank,"85,140,000","87,942,000","572,866,000","52,470,000","54,738,000","10,506,000","31,078,000","11,371,000","5,092,000","41,830,000","10,394,000","40,221,000","23,743,000"
Stores and Spares,"54,915,000","58,393,000","64,264,000","61,435,000","50,800,000","45,091,000","52,281,000","34,058,000","26,953,000","24,972,000","32,150,000","28,128,000","28,773,000"
Stock in Trade,"1,902,397,000","2,203,201,000","1,954,584,000","1,914,835,000","1,547,242,000","1,262,471,000","1,324,291,000","1,011,004,000","1,246,909,000","1,322,151,000","982,719,000","657,915,000","1,018,606,000"
Trade Debts,"1,652,652,000","2,088,764,000","1,971,710,000","1,318,916,000","1,020,030,000","960,409,000","1,028,387,000","878,367,000","715,687,000","476,898,000","636,040,000","323,219,000","397,375,000"
Current Assets,"4,195,014,000","4,985,880,000","4,875,412,000","3,537,579,000","2,926,580,000","2,521,283,000","2,772,666,000","2,163,835,000","2,160,695,000","2,108,828,000","1,888,162,000","1,173,985,000","1,560,576,000"
Quick Assets,"2,237,702,000","2,724,286,000","2,856,564,000","1,561,309,000","1,328,538,000","1,213,721,000","1,396,094,000","1,118,773,000","886,833,000","761,705,000","873,293,000","487,942,000","513,197,000"
Total Assets,"8,417,195,000","8,431,554,000","7,171,034,000","5,789,727,000","5,075,526,000","4,166,432,000","4,364,249,000","3,592,066,000","3,679,157,000","3,807,776,000","3,640,949,000","3,007,734,000","3,345,900,000"
Interest Bearing Long Term Liability,"687,732,000","680,625,000","289,375,000","198,125,000","227,500,000","50,000,000",0,0,"3,125,000","26,875,000","260,958,000","364,185,000","270,770,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,"12,597,000","15,177,000","14,117,000","13,726,000"
Interest Bearing Short Term Liability,"1,507,757,000","1,607,238,000","1,847,889,000","986,370,000","465,467,000","667,094,000","903,190,000","578,915,000","568,435,000","1,048,738,000","1,317,878,000","609,496,000","1,151,773,000"
* Non Interest Bearing Short Term Liability,"1,123,404,000","852,809,000","1,121,701,000","1,359,031,000","1,268,865,000","826,971,000","861,218,000","626,342,000","775,577,000","490,373,000","528,872,000","485,770,000","477,352,000"
Trades Payables,"1,077,799,000","812,558,000","1,096,047,000","1,359,031,000","1,262,183,000","821,588,000","853,359,000","619,809,000","768,664,000","481,990,000","508,894,000","446,731,000","449,277,000"
Total Current Liabilities,"2,852,285,000","2,708,640,000","2,993,366,000","2,357,145,000","1,734,332,000","1,494,065,000","1,764,408,000","1,205,257,000","1,344,012,000","1,539,111,000","1,846,750,000","1,095,266,000","1,629,125,000"
Total Liabilities,"3,647,037,000","3,553,763,000","3,413,037,000","2,678,169,000","2,094,640,000","1,643,217,000","1,902,034,000","1,353,712,000","1,526,760,000","1,738,410,000","2,241,291,000","1,605,292,000","2,007,379,000"
Paid Up Capital,"355,779,000","355,779,000","284,623,000","284,623,000","284,623,000","284,623,000","284,623,000","284,623,000","284,623,000","284,623,000","214,623,000","214,623,000","195,112,000"
Reserves,"2,801,445,000","2,898,771,000","2,369,041,000","1,723,823,000","1,582,144,000","1,415,692,000","1,364,058,000","1,265,003,000","1,176,220,000","1,088,894,000","504,190,000","503,618,000","455,852,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,612,934,000","1,623,241,000","1,104,333,000","1,103,112,000","1,114,119,000","822,900,000","813,534,000","688,728,000","691,554,000","695,849,000","680,845,000","684,201,000","687,557,000"
Shareholder Equity,"4,770,158,000","4,877,791,000","3,757,997,000","3,111,558,000","2,980,886,000","2,523,215,000","2,462,215,000","2,238,354,000","2,152,397,000","2,069,366,000","1,399,658,000","1,402,442,000","1,338,521,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"35,577,900","35,577,900","28,462,300","28,462,376","28,462,376","28,462,376","28,462,376","28,462,376","28,462,376","28,462,376","21,462,376","21,462,376","19,511,251"
