Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"9,086,125,000","9,704,311,000","9,560,954,000","8,083,511,000","6,849,559,000","6,956,670,000","6,599,512,000","6,164,555,000","5,344,571,000","4,096,391,000","3,798,847,000","3,352,328,000","3,794,949,000"
COGS,"8,225,834,000","8,558,638,000","8,423,835,000","6,815,996,000","5,766,671,000","6,087,480,000","5,722,636,000","5,457,538,000","4,656,976,000","3,576,776,000","3,386,498,000","2,819,973,000","3,425,069,000"
Gross Profit,"860,291,000","1,145,673,000","1,137,119,000","1,267,515,000","1,082,888,000","869,190,000","876,876,000","707,017,000","687,595,000","519,615,000","412,349,000","532,355,000","369,880,000"
Administrative Expenses,"222,332,000","266,192,000","248,902,000","230,120,000","196,730,000","193,045,000","165,769,000","123,726,000","106,639,000","101,660,000","67,691,000","70,573,000","74,592,000"
Selling & Distributive Expenses,"435,104,000","509,832,000","438,265,000","406,018,000","405,694,000","296,486,000","210,709,000","223,860,000","189,255,000","161,885,000","118,590,000","125,555,000","146,107,000"
Financial Charges,"283,279,000","188,600,000","133,616,000","65,620,000","80,856,000","122,243,000","92,984,000","86,042,000","67,704,000","95,932,000","154,484,000","230,007,000","130,378,000"
Other Income,"37,326,000","9,773,000","56,805,000","107,240,000","38,997,000","19,214,000","17,049,000","18,343,000","-24,048,000","3,671,000","17,099,000","24,617,000","6,461,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"21,338,000","14,463,000","29,375,000","48,746,000","31,420,000","26,299,000","33,367,000","25,687,000","58,993,000","17,127,000","36,377,000","9,908,000","146,942,000"
EBITDA,"451,109,000","580,694,000","691,714,000","887,525,000","654,505,000","515,080,000","615,298,000","478,189,000","430,562,000","361,037,000","323,061,000","432,881,000","257,029,000"
EBIT,"218,843,000","364,959,000","477,382,000","689,871,000","488,041,000","372,574,000","484,080,000","352,087,000","308,660,000","242,614,000","206,790,000","331,848,000","183,985,000"
EBT,"-64,436,000","176,359,000","343,766,000","624,251,000","407,185,000","250,331,000","391,096,000","266,045,000","240,956,000","146,682,000","52,306,000","101,841,000","53,607,000"
Tax,"27,350,000","50,126,000","38,423,000","145,795,000","-142,905,000","61,034,000","168,782,000","89,063,000","101,000,000","61,000,000","6,800,000","37,920,000","-11,790,000"
PAT,"-91,786,000","126,233,000","305,343,000","478,456,000","264,280,000","189,297,000","222,314,000","176,982,000","139,956,000","85,682,000","45,506,000","63,921,000","65,397,000"
EPS,-2.58,3.56,10.32,16.81,9.29,6.65,7.81,6.22,4.92,3.34,2.12,2.98,3.05
