Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,70.46,55.93,62.46,48.46,45.11,57.61,64.33,66.09,66.44,70.75,75.55,0.00
Plow Back,100.00,29.54,44.07,37.54,51.54,54.89,42.39,35.67,33.91,33.56,29.25,24.45,100.00
Return on Equity,-1.92,2.59,8.13,15.38,8.87,7.50,9.03,7.91,6.50,4.14,3.25,4.56,4.89
Return on Assets,-1.09,1.50,4.26,8.26,5.21,4.54,5.09,4.93,3.80,2.25,1.25,2.13,1.95
Book Value per Share,134.08,137.10,132.03,109.32,104.73,88.65,86.51,78.64,75.62,72.71,65.21,65.34,68.60
Earning Per Share,-2.58,3.56,10.32,16.81,9.29,6.65,7.81,6.22,4.92,3.34,2.12,2.98,3.05
Net Working Capital to Total Asseets,0.16,0.27,0.26,0.20,0.23,0.25,0.23,0.27,0.22,0.15,0.01,0.03,-0.02
Current Ratio,1.47,1.84,1.63,1.50,1.69,1.69,1.57,1.80,1.61,1.37,1.02,1.07,0.96
Acid Test,0.78,1.01,0.95,0.66,0.77,0.81,0.79,0.93,0.66,0.49,0.47,0.45,0.32
Times Interest Earned,0.77,1.94,3.57,10.51,6.04,3.05,5.21,4.09,4.56,2.53,1.34,1.44,1.41
Total Debt Ratio,0.43,0.42,0.48,0.46,0.41,0.39,0.44,0.38,0.41,0.46,0.62,0.53,0.60
Debt To Equity,0.76,0.73,0.91,0.86,0.70,0.65,0.77,0.60,0.71,0.84,1.60,1.14,1.50
Return on Capital Employed,0.04,0.06,0.11,0.20,0.15,0.14,0.19,0.15,0.13,0.11,0.12,0.17,0.11
Average Collection Period,66.39,78.56,75.27,59.55,54.35,50.39,56.88,52.01,48.88,42.49,61.11,35.19,38.22
Days sales Inventory,86.85,96.45,87.48,105.83,101.15,78.40,87.80,69.89,99.84,137.47,109.38,88.80,111.62
Total Assets Turnover,1.08,1.15,1.33,1.40,1.35,1.67,1.51,1.72,1.45,1.08,1.04,1.11,1.13
Gross Profit Margin,9.47,11.81,11.89,15.68,15.81,12.49,13.29,11.47,12.87,12.69,10.86,15.88,9.75
Net Profit Margin,-1.01,1.30,3.19,5.92,3.86,2.72,3.37,2.87,2.62,2.09,1.20,1.91,1.72
